A01.000x009 1
A01.000x011 1
A01.000x019 1
A01.002+G01* 1
A02.203+G01* 1
A03.900x008 1
A03.900x009 1
A03.904 1
A05.200x002 1
A05.202 1
A15.000x001 2
A15.000x002 2
A15.000x003 2
A15.000x018 2
A15.000x028 2
A15.001 2
A15.002 2
A15.003 2
A15.004 2
A15.005 2
A15.006 2
A15.007 2
A15.100x001 2
A15.100x005 2
A15.100x006 2
A15.100x010 2
A15.100x011 2
A15.101 2
A15.102 2
A15.103 2
A15.104 2
A15.105 2
A15.106 2
A15.107 2
A15.200x001 2
A15.200x002 2
A15.201 2
A15.202 2
A15.203 2
A15.204 2
A15.205 2
A15.206 2
A15.207 2
A15.300x001 2
A15.301 2
A15.302 2
A15.303 2
A15.304 2
A15.305 2
A15.306 2
A15.307 2
A15.400x001 2
A15.401 2
A15.402 2
A15.403 2
A15.404 2
A15.405 2
A15.406 2
A15.407 2
A15.408 2
A15.409 2
A15.500x001 2
A15.500x002 2
A15.500x003 2
A15.500x004 2
A15.500x016 2
A15.500x017 2
A15.500x018 2
A15.500x019 2
A15.500x026 2
A15.500x027 2
A15.500x028 2
A15.500x029 2
A15.501 2
A15.502 2
A15.503 2
A15.504 2
A15.505 2
A15.506 2
A15.507 2
A15.508 2
A15.509 2
A15.601 2
A15.602 2
A15.603 2
A15.604 2
A15.605 2
A15.606 2
A15.607 2
A15.608 2
A15.609 2
A15.701 2
A15.702 2
A15.703 2
A15.800x001 2
A15.801 2
A15.802 2
A15.803 2
A15.804 2
A15.805 2
A15.806 2
A15.807 2
A15.808 2
A15.809 2
A15.810 2
A15.811 2
A15.812 2
A15.813 2
A15.814 2
A15.900 2
A15.901 2
A16.800x002 2
A18.400x001 2
A18.410 2
A18.411 2
A19.000 2
A19.000x007 2
A19.000x008 2
A19.000x009 2
A19.000x010 2
A19.000x017 2
A19.000x018 2
A19.000x019 2
A19.000x020 2
A19.001 2
A19.100 2
A19.200 2
A19.200x001 2
A19.800 2
A19.801 2
A19.802 2
A19.803 2
A19.900 2
A19.900x004 2
A19.900x005 2
A19.901 2
A19.902 2
A23.900x005+G05.0* 3
A24.100x003 3
A24.101 3
A24.102 3
A27.900x002 3
A27.900x004 3
A27.900x006 3
A30.000x001 4
A30.100x003 4
A30.300 4
A30.300x001 4
A30.300x002 4
A30.400 4
A30.400x001 4
A30.400x002 4
A30.500 4
A30.500x001 4
A30.800 4
A30.900 4
A30.900x002 4
A30.900x003 4
A30.900x004 4
A30.900x005 4
A30.900x006+H19.2* 4
A30.900x007+H32.0* 4
A30.900x008 4
A32.101+G01* 4
A32.102+G05.0* 4
A32.801+I68.1* 4
A32.802+I39.8* 4
A32.803 4
A36.000 4
A36.000x002 4
A36.000x003 4
A36.000x004 4
A36.100 4
A37.900x005 4
A37.901+J17.0* 4
A38.x00x011 4
A38.x00x012 4
A38.x00x013 4
A38.x00x014 4
A39.000+G01* 4
A39.000x004+G01* 4
A39.000x005+G01* 4
A39.000x006+G01* 4
A39.000x007+G01* 4
A39.000x008+G01* 4
A39.001+G01* 4
A39.002+G01* 4
A39.003+G01* 4
A39.100+E35.1* 4
A39.200 4
A39.300 4
A39.400 4
A39.500 4
A39.501+I32.0* 4
A39.502+I39.8* 4
A39.503+I41.0* 4
A39.504+I52.0* 4
A39.802+G05.0* 4
A39.803+G05.0* 4
A42.800x003+G01* 4
A48.000 4
A48.100x003 4
A50.400x002+G01* 5
A50.400x003+G05.0* 5
A50.402+G01* 5
A51.401+G01* 5
A52.000+I98.0* 5
A52.000x001+I52.0* 5
A52.000x006+I39.1* 5
A52.000x007+I39.1* 5
A52.000x011+I39.0* 5
A52.001+I68.1* 5
A52.002+I79.1* 5
A52.003+I79.0* 5
A52.004+I39.1* 5
A52.005+I52.0* 5
A52.006+I39.8* 5
A52.007+I41.0* 5
A52.008+I32.0* 5
A52.009+I39.3* 5
A52.100 5
A52.100x005+G22* 5
A52.100x006+G59.8* 5
A52.100x007+G05.0* 5
A52.100x008+G63.0* 5
A52.100x009+G01* 5
A52.100x010+G05.0* 5
A52.100x011 5
A52.100x012+H48.1* 5
A52.101 5
A52.102+H58.0* 5
A52.103+M14.6* 5
A52.105+G01* 5
A54.801+G07* 5
A54.803+G01* 5
A54.804+I41.0* 5
A79.900x003+G05.2* 6
A80.400x001 7
A80.400x002 7
A80.900 7
A81.000 7
A81.000x002 7
A81.000x004 7
A81.000x006 7
A81.000x007 7
A81.001+F02.1* 7
A81.100 7
A81.101 7
A81.200 7
A81.200x001 7
A81.800 7
A81.800x001 7
A81.801 7
A81.900 7
A83.000 7
A83.000x001 7
A83.000x002 7
A83.000x003 7
A83.000x004 7
A83.000x005 7
A83.100 7
A83.200 7
A83.300 7
A83.400 7
A83.500 7
A83.600 7
A83.800 7
A83.900 7
A84.000 7
A84.000x001 7
A84.100 7
A84.800x001 7
A84.900 7
A85.000+G05.1* 7
A85.000x002+G05.1* 7
A85.000x003+G05.1* 7
A85.001+G05.1* 7
A85.100+G05.1* 7
A85.101+G05.1* 7
A85.200 7
A85.200x001 7
A85.800 7
A86.x00 7
A86.x01 7
A86.x02 7
A87.000+G02.0* 7
A87.000x001+G02.0* 7
A87.000x002+G02.0* 7
A87.000x003+G02.0* 7
A87.100+G02.0* 7
A87.200x001+G02.0* 7
A87.200x002+G02.0* 7
A87.800 7
A87.801 7
A87.900 7
A87.901 7
A88.000 7
A88.100 7
A88.800 7
A88.800x001 7
A89.x00 7
A92.300 8
A92.300x001 8
A92.300x002 8
A92.300x003 8
A92.300x004 8
A93.802 8
A96.000 8
A96.100 8
A96.100x001 8
A96.200 8
A96.800 8
A96.900 8
A97.000 8
A97.100 8
A97.200 8
A97.900 8
A98.000 8
A98.100 8
A98.200 8
A98.300 8
A98.400 8
A98.400x001 8
A98.500x001+N08.0* 8
A98.800 8
A99.x00 8
B00.300+G02.0* 9
B00.400+G05.1* 9
B00.400x001+G05.1* 9
B00.401+G05.1* 9
B00.700 9
B01.000+G02.0* 9
B01.000x001+G02.0* 9
B01.100+G05.1* 9
B01.800x001+I41.1* 9
B02.000+G05.1* 9
B02.000x002+G05.1* 9
B02.000x003+G05.1* 9
B02.001+G05.1* 9
B02.100+G02.0* 9
B03.x00 9
B03.x00x002 9
B03.x00x003 9
B03.x00x004 9
B04.x00 9
B05.000+G05.1* 9
B05.100+G02.0* 9
B05.800x001+H19.2* 9
B05.800x003+K77.0* 9
B05.800x008 9
B05.800x009 9
B05.800x010 9
B05.801 9
B05.802 9
B05.803 9
B06.000x002+G05.1* 9
B06.001+G05.1* 9
B06.002+G02.0* 9
B17.102 10
B17.103 10
B17.200x005 10
B17.204 10
B17.205 10
B17.900x005 10
B17.900x006 10
B20.000x001 11
B20.100x001 11
B20.200x001 11
B20.300x001 11
B20.301 11
B20.400x001 11
B20.500x001 11
B20.600x001 11
B20.700x001 11
B20.801 11
B20.901 11
B21.000x001 11
B21.100x001 11
B21.200x001 11
B21.300 11
B21.700 11
B21.800 11
B21.900 11
B22.000x001 11
B22.000x003 11
B22.000x004 11
B22.000x005 11
B22.001+F02.4* 11
B22.100 11
B22.200 11
B22.700 11
B22.701 11
B23.000 11
B23.100 11
B23.100x002 11
B23.200 11
B23.201 11
B23.800 11
B23.800x001 11
B23.800x002 11
B23.801 11
B24.x01 11
B25.801+G05.1* 12
B25.803+I41.1* 12
B26.100+G02.0* 12
B26.200+G05.1* 12
B26.201+G05.1* 12
B26.202+G05.1* 12
B26.803+I41.1* 12
B33.200 12
B33.200x001+I32.1* 12
B33.200x002+I39.8* 12
B33.200x004+I41.1* 12
B37.600+I39.8* 13
B38.400+G02.1* 13
B43.101+G07* 13
B44.100x003 13
B44.101+J99.8* 13
B44.200x001+J99.8* 13
B44.700 13
B44.800x001 13
B44.800x002 13
B44.800x003 13
B44.800x004+H62.2* 13
B44.800x005 13
B44.800x006 13
B44.800x007 13
B44.801 13
B44.802 13
B44.803 13
B44.804 13
B44.900x001 13
B45.000 13
B45.000x002+J99.8* 13
B45.100 13
B45.100x002+G02.1* 13
B45.101+G02.1* 13
B45.102+G05.2* 13
B45.700 13
B46.400 13
B49.x00x002 13
B49.x00x007 13
B49.x00x011 13
B49.x00x013 13
B49.x00x021 13
B49.x01+G02.1* 13
B49.x02+E35.8* 13
B49.x03+H19.2* 13
B49.x04+H19.2* 13
B49.x05 13
B49.x06 13
B49.x07 13
B49.x08 13
B49.x09 13
B49.x10 13
B49.x11 13
B49.x12 13
B49.x13 13
B49.x14+J99.8* 13
B49.x15 13
B49.x16 13
B49.x17 13
B49.x18 13
B49.x19+M01.6* 13
B50.000 14
B50.000x001+G94.8* 14
B50.800 14
B50.801 14
B51.000 14
B51.000x001+D77* 14
B51.800 14
B51.900 14
B52.000 14
B52.000x002+N08.0* 14
B52.001+N08.0* 14
B52.800 14
B52.900x001 14
B53.000x001 14
B53.100 14
B53.800x001 14
B54.x00 14
B54.x00x003+K77.0* 14
B54.x00x004 14
B54.x00x006 14
B54.x00x008 14
B56.000x001 14
B56.100x001 14
B56.900x001 14
B57.001+I98.1* 14
B57.002+I41.2* 14
B57.201+I98.1* 14
B57.202+I41.2* 14
B57.400x001+G02.8* 14
B57.400x002+G05.2* 14
B58.200+G05.2* 14
B58.200x002+G05.2* 14
B58.201+G05.2* 14
B58.300+J17.3* 14
B58.800x001+I41.2* 14
B60.200x001+G05.2* 14
B60.200x002+G05.2* 14
B60.201+G05.2* 14
B65.901+G07* 15
B83.202+G05.2* 15
C81.000 16
C81.100 16
C81.200 16
C81.300 16
C81.400 16
C81.700 16
C81.701 16
C81.702 16
C81.703 16
C81.900 16
C81.900x005 16
C82.000 16
C82.100 16
C82.200 16
C82.300 16
C82.400 16
C82.500 16
C82.600 16
C82.700 16
C82.701 16
C82.702 16
C82.703 16
C82.704 16
C82.900 16
C82.901 16
C82.903 16
C83.000 16
C83.001 16
C83.002 16
C83.003 16
C83.004 16
C83.100 16
C83.101 16
C83.102 16
C83.300 16
C83.300x006 16
C83.300x007 16
C83.300x008 16
C83.300x009 16
C83.301 16
C83.302 16
C83.303 16
C83.304 16
C83.305 16
C83.306 16
C83.307 16
C83.500 16
C83.501 16
C83.502 16
C83.503 16
C83.504 16
C83.505 16
C83.700 16
C83.702 16
C83.703 16
C83.800 16
C83.800x006 16
C83.800x008 16
C83.800x009 16
C83.801 16
C83.802 16
C83.803 16
C83.900 16
C84.000 16
C84.000x002 16
C84.000x003 16
C84.100 16
C84.400 16
C84.400x001 16
C84.401 16
C84.402 16
C84.403 16
C84.404 16
C84.405 16
C84.406 16
C84.407 16
C84.500 16
C84.500x004 16
C84.500x012 16
C84.500x016 16
C84.502 16
C84.600 16
C84.601 16
C84.700 16
C84.800 16
C84.900 16
C84.901 16
C85.100 16
C85.100x010 16
C85.100x017 16
C85.100x021 16
C85.200 16
C85.700 16
C85.700x004 16
C85.700x016 16
C85.701 16
C85.704 16
C85.705 16
C85.707 16
C85.709 16
C85.715 16
C85.900 16
C85.900x001 16
C85.900x002 16
C85.900x003 16
C85.900x004 16
C85.900x005 16
C85.900x006 16
C85.900x008 16
C85.900x009 16
C85.900x010 16
C85.900x011 16
C85.900x012 16
C85.900x013 16
C85.900x014 16
C85.900x015 16
C85.900x016 16
C85.900x017 16
C85.900x019 16
C85.900x020 16
C85.900x022 16
C85.900x023 16
C85.900x024 16
C85.900x025 16
C85.900x026 16
C85.900x027 16
C85.900x028 16
C85.900x029 16
C85.900x030 16
C85.900x031 16
C85.900x034 16
C85.900x036 16
C85.900x037 16
C85.900x038 16
C85.900x039 16
C85.900x040 16
C85.900x041 16
C85.900x042 16
C85.900x043 16
C85.901 16
C86.000 16
C86.100 16
C86.200 16
C86.300 16
C86.400 16
C86.500 16
C86.600 16
C86.601 16
C86.602 16
C86.603 16
C88.000 16
C88.000x002 16
C88.000x011 16
C88.000x012 16
C88.200 16
C88.200x011 16
C88.200x012 16
C88.201 16
C88.202 16
C88.203 16
C88.300 16
C88.301 16
C88.302 16
C88.400 16
C88.401 16
C88.402 16
C88.403 16
C88.700 16
C88.700x002 16
C88.700x003 16
C88.700x012 16
C88.700x013 16
C88.701 16
C88.900 16
C88.900x001 16
C90.000 16
C90.000x004 16
C90.000x005 16
C90.000x008+M90.6* 16
C90.000x009 16
C90.000x011 16
C90.000x012 16
C90.000x014 16
C90.000x021 16
C90.000x022 16
C90.000x023 16
C90.000x024 16
C90.000x025 16
C90.000x026 16
C90.000x027 16
C90.000x028 16
C90.000x029 16
C90.000x030 16
C90.000x031 16
C90.000x032 16
C90.000x033 16
C90.000x034 16
C90.000x035 16
C90.000x036 16
C90.000x037 16
C90.000x038 16
C90.000x039 16
C90.000x040 16
C90.000x041 16
C90.001 16
C90.002 16
C90.004+N16.1* 16
C90.005+N08.1* 16
C90.100 16
C90.100x002 16
C90.100x011 16
C90.200 16
C90.200x008 16
C90.200x009 16
C90.200x013 16
C90.300 16
C90.300x001 16
C90.300x002 16
C90.300x003 16
C90.300x004 16
C90.301 16
C90.302 16
C90.303 16
C91.000 16
C91.000x006 16
C91.000x007 16
C91.000x009 16
C91.000x012 16
C91.000x013 16
C91.000x014 16
C91.000x015 16
C91.000x016 16
C91.000x017 16
C91.001 16
C91.002 16
C91.003 16
C91.004 16
C91.006 16
C91.007 16
C91.008 16
C91.100 16
C91.100x011 16
C91.100x012 16
C91.101 16
C91.102 16
C91.300 16
C91.400 16
C91.400x004 16
C91.400x013 16
C91.401 16
C91.500 16
C91.500x011 16
C91.600 16
C91.700 16
C91.701 16
C91.704 16
