同时包含以下手术或操作：
78.5501 股骨内固定术
78.5600x001 髌骨钢板内固定术
78.5600x002 髌骨钢针内固定术
78.5600x003 髌骨螺钉内固定术
78.5601 髌骨内固定术
78.5700x003 腓骨螺钉内固定术
78.5700x004 腓骨髓内针内固定术
78.5700x005 胫骨钢板内固定术
78.5700x006 胫骨钢针内固定术
78.5700x007 胫骨螺钉内固定术
78.5700x008 胫骨髓内针内固定术
78.5700x009 腓骨钢板内固定术
78.5700x010 腓骨钢针内固定术
78.5700x011 膝关节镜下后交叉韧带止点撕脱骨折固定术
78.5700x012 膝关节镜下胫骨髁间棘骨折固定术
78.5700x013 关节镜下胫骨钢丝内固定术
78.5701 胫骨内固定术
78.5702 腓骨内固定术
78.5800x002 跗骨钢针内固定术
78.5800x003 跗骨螺钉内固定术
78.5800x005 跖骨钢板内固定术
78.5800x006 跖骨钢针内固定术
78.5800x007 跖骨螺钉内固定术
78.5800x008 跖骨髓内针内固定术
78.5800x009 跗骨钢板内固定术
78.5801 跗骨内固定术
78.5802 跖骨内固定术
78.5900x020 趾骨钢板内固定术
78.5900x027 骨盆钢板内固定术
78.5900x028 骨盆钢针内固定术
78.5900x029 骨盆螺钉内固定术
78.5900x030 骨盆髓内针内固定术
78.5900x034 趾骨钢针内固定术
78.5900x035 趾骨螺钉内固定术
78.5900x036 趾骨髓内针内固定术
78.5901 骨盆内固定术
78.5903 趾骨内固定术
78.7500 股骨折骨术
78.7600 髌骨折骨术
78.7701 胫骨折骨术
78.7702 腓骨折骨术
78.7801 跗骨折骨术
78.7802 跖骨折骨术
78.7901 骨盆折骨术
78.7903 趾骨折骨术
78.9500 股骨生长刺激器的置入
78.9600 髌骨生长刺激器的置入
78.9701 胫骨生长刺激器的置入
78.9800 跗骨和跖骨生长刺激器的置入
79.0500x002 股骨骨折闭合复位术
79.0601 胫骨骨折闭合性复位术
79.0602 腓骨骨折闭合性复位术
79.0603 踝关节骨折闭合性复位术
79.0604 髌骨骨折闭合性复位术
79.0700x002 距骨骨折闭合复位术
79.0700x005 跟骨骨折闭合复位术
79.0701 跗骨骨折闭合性复位术
79.0702 跖骨骨折闭合性复位术
79.0801 趾骨骨折闭合性复位术
79.0902 骨盆骨折闭合性复位术
79.1500x006 股骨骨折闭合复位髓内针内固定术
79.1500x007 股骨骨折闭合复位钢针内固定术
79.1500x008 股骨骨折闭合复位螺钉内固定术
79.1600x004 胫骨骨折闭合复位髓内针内固定术
79.1600x006 胫骨骨折闭合复位螺钉内固定术
79.1600x007 踝关节骨折闭合复位髓内针内固定术
79.1600x008 踝关节骨折闭合复位钢针内固定术
79.1600x009 腓骨骨折闭合复位髓内针内固定术
79.1600x010 腓骨骨折闭合复位钢针内固定术
79.1600x011 腓骨骨折闭合复位螺钉内固定术
79.1600x012 胫骨骨折闭合复位钢板内固定术
79.1600x013 踝关节骨折闭合复位螺钉内固定术
79.1600x014 腓骨骨折闭合复位钢板内固定术
79.1601 胫骨骨折闭合复位内固定术
79.1602 腓骨骨折闭合复位内固定术
79.1603 踝关节骨折闭合复位内固定术
79.1700x005 跖骨骨折闭合复位钢针内固定术
79.1700x006 跖骨骨折闭合复位螺钉内固定术
79.1700x007 跗骨骨折闭合复位螺钉内固定术
79.1700x009 跟骨骨折闭合复位钢针内固定术
79.1700x010 跟骨骨折闭合复位螺钉内固定术
79.1700x011 跖骨骨折闭合复位髓内针内固定术
79.1700x012 跗骨骨折闭合复位钢针内固定术
79.1700x013 跟骨骨折闭合复位内固定术
79.1701 跗骨骨折闭合复位内固定术
79.1702 跖骨骨折闭合复位内固定术
79.1800x002 趾骨骨折闭合复位钢针内固定术
79.1800x003 趾骨骨折闭合复位髓内针内固定术
79.1900x005 髌骨骨折闭合复位空心钉内固定术
79.1903 骨盆骨折闭合复位内固定术
79.2501 股骨骨折切开复位术
79.2601 胫骨骨折切开复位术
79.2602 腓骨骨折切开复位术
79.2603 踝关节骨折切开复位术
79.2700x004 跟骨骨折切开复位术
79.2701 跗骨骨折切开复位术
79.2702 跖骨骨折切开复位术
79.2801 趾骨骨折切开复位术
79.3500x016 股骨骨折切开复位钢板内固定术
79.3500x017 股骨骨折切开复位螺钉内固定术
79.3500x018 股骨骨折切开复位髓内针内固定术
79.3500x019 股骨骨折切开复位钢针内固定术
79.3500x020 股骨骨折切开复位钢丝内固定术
79.3501 股骨骨折切开复位内固定术
79.3600x008 腓骨骨折切开复位钢针内固定术
79.3600x009 踝关节骨折切开复位钢板内固定术
79.3600x010 踝关节骨折切开复位螺钉内固定术
79.3600x011 踝关节骨折切开复位髓内针内固定术
79.3600x012 踝关节骨折切开复位钢针内固定术
79.3600x013 胫骨骨折切开复位钢板内固定术
79.3600x014 胫骨骨折切开复位螺钉内固定术
79.3600x015 胫骨骨折切开复位髓内针内固定术
79.3600x016 胫骨骨折切开复位钢针内固定术
79.3600x017 腓骨骨折切开复位钢板内固定术
79.3600x018 腓骨骨折切开复位螺钉内固定术
79.3600x019 腓骨骨折切开复位髓内针内固定术
79.3600x020 膝关节镜下前交叉韧带止点撕脱骨折复位固定术
79.3601 胫骨骨折切开复位内固定术
79.3602 腓骨骨折切开复位内固定术
79.3603 踝关节骨折切开复位内固定术
79.3604 髌骨骨折切开复位内固定术
79.3605 胫骨骨折切开复位内固定，经关节镜
79.3700x010 跗骨骨折切开复位螺钉内固定术
79.3700x011 跗骨骨折切开复位髓内针内固定术
79.3700x012 跗骨骨折切开复位钢针内固定术
79.3700x013 跟骨骨折切开复位钢板内固定术
79.3700x014 跟骨骨折切开复位螺钉内固定术
79.3700x015 跖骨骨折切开复位螺钉内固定术
79.3700x016 跖骨骨折切开复位髓内针内固定术
79.3700x017 跖骨骨折切开复位钢针内固定术
79.3700x018 跟骨骨折切开复位钢针内固定术
79.3700x019 跖骨骨折切开复位钢板内固定术
79.3700x020 楔骨骨折切开复位螺钉内固定术
79.3700x021 跟骨骨折切开复位内固定术
79.3700x022 楔骨骨折切开复位内固定术
79.3700x023 舟状骨骨折切开复位内固定术
79.3700x024 骰骨骨折切开复位内固定术
79.3700x031 距骨骨折切开复位螺钉内固定术
79.3700x033 距骨骨折切开复位钢针内固定术
79.3700x055 距骨骨折切开复位钢板内固定术
79.3701 跗骨骨折切开复位内固定术
79.3702 跖骨骨折切开复位内固定术
79.3800x002 趾骨骨折切开复位螺钉内固定术
79.3800x003 趾骨骨折切开复位髓内针内固定术
79.3800x004 趾骨骨折切开复位钢针内固定术
79.3800x005 趾骨骨折切开复位钢板内固定术
79.3900x001 髌骨骨折切开复位张力带钢丝内固定术
79.3900x002 髌骨骨折切开复位螺钉内固定术
79.3900x025 骨盆骨折切开复位螺钉内固定术
79.3900x026 骨盆骨折切开复位髓内针内固定术
79.3900x027 骨盆骨折切开复位钢针内固定术
79.3900x037 髂骨骨折切开复位螺钉内固定术
79.3900x039 髂骨骨折切开复位钢针内固定术
79.3900x043 骨盆骨折切开复位钢板内固定术
79.3900x045 髋骨骨折切开复位钢板内固定术
79.3900x046 髋骨骨折切开复位螺钉内固定术
79.3900x048 髋骨骨折切开复位钢针内固定术
79.3900x050 髂骨骨折切开复位钢板内固定术
79.3900x052 髌骨骨折切开复位聚髌器内固定术
79.3900x056 髂骨骨折切开复位内固定术
79.3900x057 耻骨骨折切开复位内固定术
79.3900x058 骶骨骨折切开复位内固定术
79.3901 盆骨骨折切开复位内固定术
79.4501 股骨骨骺分离闭合复位术
79.4601 胫骨骨骺分离闭合复位术
79.4602 腓骨骨骺分离闭合复位术
79.5501 股骨骨骺分离切开复位术
79.5601 胫骨骨骺分离切开复位术
79.5602 腓骨骨骺分离切开复位术
79.6500 股骨开放性骨折部位的清创术
79.6600x001 踝骨开放性骨折清创术
79.6601 胫骨开放性骨折清创术
79.6602 腓骨开放性骨折清创术
79.6701 跗骨开放性骨折清创术
79.6702 跖骨开放性骨折清创术
79.6800 趾开放性骨折部位的清创术
79.8600x002 胫骨结节内下移位术[改良Hauser手术]
79.9500 股骨损伤的手术
79.9600 胫骨和腓骨损伤的手术
79.9700 跗骨和跖骨损伤的手术
79.9800 趾骨损伤的手术
81.4001 髋臼成形术
84.1200 经足截断术
84.1500x002 经胫骨和腓骨的小腿离断术
84.1501 小腿截断术
84.1701 大腿截断术
84.1901 半侧骨盆截断术
84.2501 断趾再植术
84.2601 断足再植术
84.2701 小腿断肢再植术
84.2801 大腿断肢再植术
84.4600 膝下假体安装
84.4700 小腿假体安装
86.8502 并趾矫正术
和
38.7x04 下腔静脉滤器置入术
