入组条件 1：手术或操作 1+手术或操作 2
或入组条件 2：手术或操作 1+手术或操作 3
或入组条件 3：手术或操作 2+手术或操作 3
手术或操作 1：
65.6100 双侧输卵管卵巢切除术
65.6101 经阴道双侧输卵管卵巢切除术
65.6200x001 残留输卵管-卵巢切除术
65.6300 腹腔镜双侧卵巢和输卵管切除术
65.6301 双侧输卵管卵巢切除术，经阴道+腹腔镜
65.6400 腹腔镜残留卵巢和输卵管切除术
65.7100x001 卵巢单纯缝合术
65.7200x001 卵巢移位术
65.7300x001 输卵管-卵巢成形术
65.7400 腹腔镜卵巢单纯缝合术
65.7500 腹腔镜卵巢再植入
65.7600 腹腔镜输卵管卵巢成形术
65.7900x008 腹腔镜下卵巢破裂修补术
65.7900x009 腹腔镜下卵巢破裂止血术
65.7900x010 卵巢重建术
65.7901 卵巢成形术
65.7902 卵巢固定术
65.7903 卵巢悬吊术
65.7904 腹腔镜卵巢悬吊术
65.7905 腹腔镜卵巢成形术
65.8101 腹腔镜卵巢粘连松解术
65.8102 腹腔镜输卵管粘连松解术
65.8900x001 输卵管-卵巢粘连松解术
65.8901 卵巢粘连松解术
65.8902 输卵管粘连松解术
65.9100 卵巢抽吸术
65.9101 腹腔镜卵巢穿刺抽吸术
65.9200 卵巢移植术
65.9300 卵巢囊肿手法破裂术
65.9400 卵巢去神经术
65.9500 卵巢扭转松解术
65.9900x005 卵巢卵泡穿刺术
65.9900x006 腹腔镜下卵巢穿刺取卵术
65.9901 卵巢打孔术
65.9902 腹腔镜卵巢打孔术
66.0100x003 腹腔镜下输卵管切开引流术
66.0100x005 输卵管切开引流术
66.0100x008 输卵管切开探查术
66.0101 腹腔镜输卵管探查术
66.0102 腹腔镜输卵管切开术
66.0200 输卵管造口术
66.0202 腹腔镜输卵管造口术
66.1101 腹腔镜输卵管活组织检查
66.2101 腹腔镜双侧输卵管挤压术
66.2102 腹腔镜双侧输卵管结扎和挤压术
66.2200x001 腹腔镜下双侧输卵管切断术
66.2201 腹腔镜双侧输卵管结扎和切断术
66.2900x001 腹腔镜下双侧输卵管电凝术
66.2900x003 宫腔镜下输卵管栓塞术
66.2901 腹腔镜输卵管绝育术
66.2902 腹腔镜输卵管激光绝育术
66.2903 腹腔镜双侧输卵管结扎术
66.3100 双侧输卵管其他结扎术和挤压术
66.3200x001 双侧输卵管切断术
66.3200x002 波罗伊手术[Pomeroy手术]
66.3201 双侧输卵管抽芯包埋术
66.3900x001 输卵管绝育术
66.3900x004 双侧输卵管结扎术
66.3901 双侧输卵管粘堵术
