包含以下主要手术或操作:
31.4400x001 气管镜下气管活检
33.2400x001 支气管镜下支气管活检
33.2400x002 支气管镜下诊断性支气管肺泡灌洗[BAL]
33.2403 纤维支气管镜检查伴肺泡灌洗术
33.2700x001 支气管镜下肺活检
33.2701 气管镜透壁针吸活组织检查
33.2703 支气管镜肺穿刺抽吸术
96.5601 支气管灌洗
96.5602 气管灌洗术
