包含以下主要诊断:
54.4x00x042 髂窝病损切除术
54.4x00x047 腰骶病损切除术
54.4x00x055 经皮腹膜后病损纳米刀消融术
54.4x02 腹膜后病损切除术
54.4x07 骶前病损切除术
77.2200x001 肱骨截骨术
77.2300x001 尺骨截骨术
77.2300x002 桡骨截骨术
77.2500x001 股骨截骨术
77.2500x008 股骨粗隆部旋转截骨术
77.2500x009 股骨粗隆下内收截骨术
77.2700x001 腓骨截骨术
77.2700x003 胫骨截骨术
77.2702 胫骨上端高位截骨术
77.2703 腓骨楔形截骨术
77.6100x008 胸廓骨病损切除术
77.6100x013 经皮肋骨病损纳米刀消融术
77.6101 肩胛骨病损切除术
77.6102 锁骨病损切除术
77.6103 肋骨病损切除术
77.6104 胸骨病损切除术
77.6201 肱骨病损切除术
77.6301 桡骨病损切除术
77.6302 尺骨病损切除术
77.6501 股骨病损切除术
77.6601 髌骨病损切除术
77.6701 胫骨病损切除术
77.6702 腓骨病损切除术
77.6801 跗骨病损切除术
77.6900x007 跟骨病损切除术
77.6900x013 踝骨病损切除术
77.6900x020 距骨病损切除术
77.6900x047 足骨病损切除术
77.6900x059 经皮椎骨病损射频消融术
77.6900x060 经皮椎骨病损微波消融术
77.6900x061 经皮椎骨病损冷冻消融术
77.6900x062 经皮椎骨病损纳米刀消融术
77.6900x068 经皮髂骨病损纳米刀消融术
77.6900x069 经皮骶骨病损纳米刀消融术
77.6905 内镜下脊柱病灶清除术
77.8100x007 第一肋骨部分切除术
77.8100x009 多根肋骨切除术
77.8101 肩胛骨部分切除术
77.8102 肩峰切除术
77.8103 肋骨部分切除术
77.8104 锁骨部分切除术
77.8105 锁骨头切除术
77.8106 胸骨部分切除术
77.8107 剑突切除术
77.8200 肱骨部分骨切除术
77.8200x002 肱骨髁部分切除术
77.8300x002 尺骨头切除术
77.8300x005 桡骨茎突切除术
77.8300x006 桡骨小头切除术
77.8301 桡骨部分切除术
77.8302 桡骨头切除术
77.8303 尺骨部分切除术
77.8500 股骨部分骨切除术
77.8501 股骨头颈切除术
77.8600 髌骨部分骨切除术
77.8700x003 腓骨小头切除术
77.8700x004 关节镜下胫骨部分切除术
77.8701 胫骨部分切除术
77.8702 腓骨部分切除术
77.8801 跗骨部分切除术
77.8900x002 耻骨部分切除术
77.8900x005 髋臼周围截骨术
77.8900x008 脊椎后弓切除术
77.8900x013 椎体部分切除术
77.8900x026 足骨部分切除术
77.8900x027 跟骨部分切除术
77.8900x028 副舟骨切除术
77.8901 坐骨部分切除术
77.8905 椎骨部分切除术
77.8906 棘突切除术
77.8907 椎骨关节面切除术
77.8908 尾骨部分切除术
77.8909 经口咽入路齿状突磨除术
77.9101 肩胛骨全部切除术
77.9102 锁骨全部切除术
77.9103 肋骨骨全部切除术
77.9104 肋骨椎骨横突切除术
77.9105 颈肋切除术
77.9200 肱骨全部切除术
77.9301 桡骨全部切除术
77.9302 尺骨全部切除术
77.9500 股骨全部切除术
77.9600 髌骨全部切除术
77.9701 胫骨全部切除术
77.9702 腓骨全部切除术
77.9801 跗骨切除术
77.9802 距骨切除术
77.9906 尾骨全部切除术
78.0000x003 同种异体骨植骨术
78.0100x002 锁骨人工骨植骨术
78.0100x003 异体肩胛骨移植术
78.0100x004 异体锁骨移植术
78.0101 肩胛骨植骨术
78.0102 锁骨植骨术
78.0103 肋骨植骨术
78.0104 胸骨植骨术
78.0200x001 肱骨植骨术
78.0200x002 肱骨人工骨植骨术
78.0300x004 尺骨人工骨植骨术
78.0300x005 桡骨人工骨植骨术
78.0300x006 异体桡骨移植术
78.0300x007 异体尺骨移植术
78.0301 桡骨植骨术
78.0302 尺骨植骨术
78.0500x001 股骨植骨术
78.0500x002 股骨人工骨植骨术
78.0600x001 髌骨植骨术
78.0600x003 髌骨人工骨植骨术
78.0700x004 胫骨人工骨植骨术
78.0700x006 腓骨人工骨植骨术
78.0700x009 异体腓骨移植术
78.0701 胫骨植骨术
78.0702 腓骨植骨术
78.0800x001 距骨植骨术
78.0800x002 距骨人工骨植骨术
78.0801 跗骨植骨术
78.0900x001 跟骨植骨术
78.0900x008 颈椎植骨术
78.0900x009 胸椎植骨术
78.0900x010 腰椎植骨术
78.0900x011 骶椎植骨术
78.0900x012 髋骨植骨术
78.0900x013 骶椎人工骨植骨术
78.0900x014 跟骨人工骨植骨术
78.0900x015 颈椎人工骨植骨术
78.0900x016 髋骨人工骨植骨术
78.0900x017 髂骨人工骨植骨术
78.0900x018 胸椎人工骨植骨术
78.0900x019 腰椎人工骨植骨术
78.0900x022 髂骨植骨术
78.0900x023 耻骨植骨术
78.0900x024 坐骨植骨术
78.0901 骨盆植骨术
78.0904 椎骨植骨术
78.1101 肩胛骨外固定架固定术
78.1102 锁骨外固定术
78.1103 肋骨外固定架固定术
78.1104 胸骨外固定架固定术
78.1201 肱骨外固定术
78.1301 桡骨外固定术
78.1302 尺骨外固定术
78.1501 股骨外固定术
78.1601 髌骨外固定术
78.1701 胫骨外固定术
78.1702 腓骨外固定术
78.1801 跗骨外固定术
78.1900x004 椎骨外固定架固定术
78.1901 盆骨外固定术
78.3000 肢体延伸术
78.3200x001 肱骨延长术
78.3301 桡骨延长术
78.3302 尺骨延长术
78.3500x001 股骨延长术
78.3701 胫骨延长术
78.3702 腓骨延长术
78.3800x001 跗骨延长术
78.4101 肩胛骨成形术
78.4102 肩胛固定术
78.4103 锁骨成形术
78.4104 肋骨成形术
78.4105 胸骨成形术
78.4201 肱骨成形术
78.4301 桡骨成形术
78.4302 尺骨成形术
78.4501 股骨成形术
78.4600x002 髌骨成形术
78.4600x003 膝关节镜下髌骨成形术
78.4701 胫骨成形术
78.4702 腓骨成形术
78.4801 跗骨成形术
78.4900x001 跟骨修补术
78.4900x008 髂骨修补术
78.4900x009 耻骨成形术
78.4901 骨盆成形术
78.4904 椎骨成形术
78.5100x003 胸骨内固定装置再置入术
78.5100x004 锁骨髓内针内固定术
78.5100x005 胸骨钢板内固定术
78.5100x006 胸骨钢针内固定术
78.5100x007 胸骨螺钉内固定术
78.5100x009 肋骨钢板内固定术
78.5100x010 肋骨钢针内固定术
78.5100x011 肋骨螺钉内固定术
78.5100x012 肋骨髓内针内固定术
78.5100x013 肩胛骨钢板内固定术
78.5100x014 肩胛骨钢针内固定术
78.5100x015 肩胛骨螺钉内固定术
78.5100x016 锁骨钢板内固定术
78.5100x017 锁骨钢针内固定术
78.5100x018 锁骨螺钉内固定术
78.5101 肩胛骨内固定术
78.5102 锁骨内固定术
78.5103 胸骨内固定术
78.5104 肋骨内固定术
78.5200x003 肱骨螺钉内固定术
78.5200x004 肱骨髓内针内固定术
78.5200x005 肱骨钢板内固定术
78.5200x006 肱骨钢针内固定术
78.5201 肱骨内固定术
78.5300x002 尺骨钢针内固定术
78.5300x003 尺骨螺钉内固定术
78.5300x004 尺骨髓内针内固定术
78.5300x005 桡骨钢板内固定术
78.5300x006 桡骨钢针内固定术
78.5300x007 桡骨螺钉内固定术
78.5300x008 桡骨髓内针内固定术
78.5300x009 尺骨钢板内固定术
78.5301 桡骨内固定术
78.5302 尺骨内固定术
78.5500x003 股骨髓内针内固定术
78.5500x005 股骨钢板内固定术
78.5500x006 股骨钢针内固定术
78.5500x007 股骨螺钉内固定术
78.5500x008 股骨头重建棒置入术
78.5501 股骨内固定术
78.5600x001 髌骨钢板内固定术
78.5600x002 髌骨钢针内固定术
78.5600x003 髌骨螺钉内固定术
78.5601 髌骨内固定术
78.5700x003 腓骨螺钉内固定术
78.5700x004 腓骨髓内针内固定术
78.5700x005 胫骨钢板内固定术
78.5700x006 胫骨钢针内固定术
78.5700x007 胫骨螺钉内固定术
78.5700x008 胫骨髓内针内固定术
78.5700x009 腓骨钢板内固定术
78.5700x010 腓骨钢针内固定术
78.5700x013 关节镜下胫骨钢丝内固定术
78.5701 胫骨内固定术
78.5702 腓骨内固定术
78.5800x002 跗骨钢针内固定术
78.5800x003 跗骨螺钉内固定术
78.5800x009 跗骨钢板内固定术
78.5801 跗骨内固定术
80.8101 肩关节病损切除术
80.8102 关节镜肩关节病损切除术
80.8201 肘关节病损切除术
80.8501 髋关节病损切除术
80.8502 关节镜髋关节病损切除术
80.8701 踝关节病损切除术
80.8702 关节镜踝关节病损切除术
80.8900x001 骶髂关节病损切除术
80.8901 脊柱关节病损切除术
80.9100 肩关节的其他切除术
80.9200 肘关节的其他切除术
80.9500 髋关节的其他切除术
80.9600 膝关节的其他切除术
80.9700 踝关节的其他切除术
81.1100x003 踝关节镜下踝关节融合术
81.1300x004 踝关节镜下距下关节融合术
81.1400 跗骨间融合术
81.1401 跟骰关节融合术
81.1700x001 跟骨关节融合术
81.2101 髋关节融合术
81.2201 膝关节融合术
81.2300x003 肩关节肩盂植骨固定术
81.2301 肩关节融合术
81.2401 肘关节融合术
81.2901 骶髂关节融合术
81.2902 胸锁关节融合术
81.4000 髋修补术
81.4000x004 髋关节镜下髋关节成形术
81.4000x007 髋关节镜下异体骨软骨移植术
81.4000x008 髋关节异体骨软骨移植术
81.4200 膝五合一修补术
81.4300 膝关节三联修补术
81.4401 关节镜髌骨稳定术
81.6500 经皮椎骨成形术
81.6600x001 经皮穿刺脊柱后凸成形术
81.6601 经皮椎体球囊扩张成形术
81.8300x001 肩关节成形术
81.8500x001 肱骨髁间成形术
81.8500x002 肘关节成形术
82.2900x001 手部软组织病损切除术
83.3200 肌肉病损切除术
83.3200x001 背部肌肉病损切除术
83.3200x007 躯干肌肉病损切除术
83.3200x009 上肢肌肉病损切除术
83.3200x012 下肢肌肉病损切除术
83.3900x001 腘窝病损切除术
83.3900x017 软组织病损切除术
83.3900x018 软组织病损破坏术
83.3900x064 经皮头部软组织病损纳米刀消融术
83.3900x065 经皮颈部软组织病损纳米刀消融术
83.3900x066 经皮上肢软组织病损纳米刀消融术
84.0500 经前臂截断术
84.0600 肘关节离断术
84.0701 上臂截断术
84.0800 肩关节离断术
84.0900x001 肩胛带离断术
84.1200 经足截断术
84.1300 踝关节离断术
84.1400 经胫骨和腓骨踝部的踝截断术
84.1500x002 经胫骨和腓骨的小腿离断术
84.1501 小腿截断术
84.1600 膝关节离断术
84.1701 大腿截断术
84.1800 髋关节离断术
84.1901 半侧骨盆截断术
