包含以下主要诊断:
P50.800 胎儿失血,其他的
P50.900 胎儿失血
P51.801 新生儿脐带结扎滑脱
P51.900 新生儿的脐带出血
P53.x00x001 新生儿出血病
P53.x00x002 新生儿维生素K缺乏性出血症
P54.000 新生儿呕血
P54.100 新生儿黑粪症
P54.200 新生儿直肠出血
P54.300x003 新生儿肠出血
P54.400 新生儿肾上腺出血
P54.500 新生儿皮肤出血
P54.600 新生儿阴道出血
P54.800x002 新生儿结膜出血
P54.801 新生儿视网膜出血
P54.802 新生儿鼻出血
P55.101 新生儿ABO溶血性黄疸
P58.000 挫伤引起的新生儿黄疸
P58.100 出血引起的新生儿黄疸
P58.200 感染引起的新生儿黄疸
P58.300 红细胞增多引起的新生儿黄疸
P58.401 母体传新生儿黄疸
P58.402 服用药物致新生儿黄疸
P58.403 毒素致新生儿黄疸
P58.500 吞咽母血引起的新生儿黄疸
P58.800 过度溶血引起的新生儿黄疸,其他特指的
P59.000 与早产有关的新生儿黄疸
P59.100 胆汁浓缩综合征
P59.201 新生儿肝炎
P59.301 新生儿母乳性黄疸
P59.801 新生儿病理性黄疸
P59.901 新生儿高胆红素血症
P59.902 新生儿生理性黄疸
P61.000 短暂性新生儿血小板减少
P61.401 新生儿贫血
P61.500 短暂性新生儿中性粒细胞减少
P61.601 新生儿低凝血酶原血症
P61.800 围生期血液疾患,其他特指的
P61.900 围生期血液疾患
P70.000 母亲伴有妊娠糖尿病的婴儿综合征
P70.300 医源性新生儿低血糖症
P70.400x002 新生儿短暂性低血糖症
P70.900 胎儿和新生儿的暂时性碳水化合物代谢疾患
P71.000 新生儿牛乳性低钙血症
P71.100 新生儿低钙血症,其他的
P71.100x001 新生儿低钙血症
P71.200 新生儿低镁血症
P71.300x001 新生儿手足搐搦
P71.400 暂时性新生儿甲状旁腺功能减退症
P71.800 暂时性新生儿钙和镁代谢紊乱,其他的
P71.901 新生儿暂时性镁代谢紊乱
P71.902 新生儿暂时性钙代谢紊乱
P72.000 新生儿甲状腺肿,不可归类在他处者
P72.100 新生儿暂时性甲状腺功能亢进症
P72.200x001 新生儿甲状腺功能减退症
P72.800 新生儿其他特指的暂时性内分泌疾患
P72.900 新生儿暂时性内分泌疾患
P74.002 新生儿呼吸性酸中毒
P74.100 新生儿脱水
P74.201 新生儿低钠血症
P74.202 新生儿高钠血症
P74.301 新生儿高钾血症
P74.302 新生儿低钾血症
P74.400 新生儿其他的暂时性电解质失调
P74.401 新生儿低氯血症
P74.402 新生儿代谢性碱中毒
P74.403 新生儿呼吸性碱中毒
P74.800x003 新生儿乳糖代谢紊乱
P74.801 新生儿低磷血症
P74.900 新生儿暂时性代谢紊乱
P76.000 胎粪堵塞综合征
P76.100 新生儿暂时性肠梗阻
P76.200 浓缩乳汁引起的肠梗阻
P76.801 新生儿肠麻痹
P76.900 新生儿肠梗阻
P78.200x001 新生儿咽下综合征
P78.300x001 新生儿非感染性腹泻
P78.300x003 新生儿生理性腹泻
P78.800x004 新生儿贲门失弛缓
P78.800x006 新生儿便秘
P78.800x010 新生儿气胀
P78.800x012 新生儿吞咽动作不协调
P78.801 新生儿胆囊结石
P78.802 新生儿腹胀
P78.806 新生儿食管反流
P78.807 新生儿胃肠功能紊乱
P78.901 新生儿胎粪延迟排出
P80.000 冷伤综合征
P80.800x001 新生儿轻度低体温
P80.801 新生儿环境性低体温
P80.900 新生儿低温症
P81.000 新生儿环境性高温
P81.001 新生儿捂热综合征
P81.800 新生儿其他特指的体温调节障碍
P81.901 新生儿脱水热
P81.902 新生儿发热
P83.100 新生儿中毒性红斑
P83.200 非溶血性疾病引起的胎儿水肿
P83.301 新生儿水肿
P83.400 新生儿乳房肿胀
P83.401 新生儿非感染性乳腺炎
P83.500 先天性鞘膜积液
P83.500x002 先天性睾丸鞘膜积液
P83.500x003 先天性精索鞘膜积液
P83.600 新生儿脐息肉
P83.800x004 新生儿硬皮病
P83.800x005 青铜症[婴儿青铜综合征]
P83.800x007 新生儿皮肤附属器息肉
P83.801 新生儿红斑
P83.803 新生儿荨麻疹
P92.000 新生儿呕吐
P92.001 新生儿贲门松弛
P92.100x001 新生儿胃食管反流
P92.200 新生儿进食缓慢
P92.300 新生儿喂养不足
P92.400 新生儿喂养过量
P92.500 新生儿母乳喂养困难
P92.800x001 新生儿喂养不当
P92.800x003 新生儿喂养不耐受
P92.900 新生儿喂养问题
P93.x02 新生儿灰白综合征
P94.000 短暂性新生儿重症肌无力
P94.100x001 先天性肌张力增高
P94.200x001 先天性肌张力减退
P94.800 新生儿其他的肌张力疾患
P96.100x001 新生儿撤药综合征(母亲药瘾)
P96.100x002 新生儿药物戒断综合征(母亲药瘾)
P96.200 新生儿使用治疗性药物所致的脱瘾性症状
P96.300 新生儿宽颅缝
P96.301 新生儿颅骨软化
P96.400 妊娠终止,影响到胎儿和新生儿
P96.500 子宫内操作的并发症,不可归类在他处者
P96.800x101 新生儿颤抖
P96.800x904 高危儿
P96.900x001 新生儿反应低下
Q86.000 胎儿酒精综合征(畸形的)
Q86.100 胎儿乙内酰脲综合征
Q86.200 苄丙酮香豆素引起的同质异形
Q87.300x301 韦弗综合征[Weaver综合征]
Q87.300x901 普罗特斯综合征[Proteus综合征]
