包含以下主要诊断：
D37.000x009 小唾液腺交界性肿瘤
D37.000x010 齿龈交界性肿瘤
D37.000x011 鼻咽交界性肿瘤
D37.000x012 舌根交界性肿瘤
D37.000x013 口底交界性肿瘤
D37.000x014 腭交界性肿瘤
D37.000x015 颊黏膜交界性肿瘤
D37.003 口腔肿瘤
D37.005 咽肿瘤
D37.007 腭肿瘤
D37.009 舌根肿瘤
D37.011 腮腺肿瘤
D37.013 扁桃体肿瘤
D37.015 大涎腺肿瘤
D37.017 小涎腺肿瘤
D37.019 杓状会厌褶肿瘤
D38.000x001 会厌交界性肿瘤
D38.000x002 喉交界性肿瘤
D38.001 喉肿瘤
D38.003 会厌肿瘤
D38.500x001 鼻腔交界性肿瘤
D38.500x003 鼻窦交界性肿瘤
D38.500x004 鼻软骨交界性肿瘤
D38.500x005 中耳交界性肿瘤
D38.502 鼻腔肿瘤
D38.504 鼻旁窦肿瘤
D38.506 鼻软骨肿瘤
D38.508 中耳肿瘤
D38.509 鼻颅底交通性肿瘤
D44.600x002 颈动脉体交界性肿瘤
D44.700x003 颈静脉体交界性肿瘤
D44.700x004 颈静脉球交界性肿瘤
D48.000x004 上颌骨交界性肿瘤
D48.005 面骨肿瘤
D48.101 头部结缔组织动态未定肿瘤
D48.102 头部结缔组织肿瘤
D48.103 面结缔组织动态未定肿瘤
D48.104 面结缔组织肿瘤
D48.105 耳结缔组织动态未定肿瘤
D48.106 耳结缔组织肿瘤
D48.200x002 头周围神经和自主神经交界性肿瘤
D48.200x003 面周围神经和自主神经交界性肿瘤
D48.200x004 颈周围神经和自主神经交界性肿瘤
D48.200x005 耳周围神经和自主神经交界性肿瘤
D48.200x006 颞下窝周围神经和自主神经交界性肿瘤
D48.200x007 翼腭窝周围神经和自主神经交界性肿瘤
D48.200x008 咽旁间隙周围神经和自主神经交界性肿瘤
D48.200x009 咽后间隙周围神经和自主神经交界性肿瘤
D48.700x007 颊部交界性肿瘤
D48.700x025 面部交界性肿瘤
D48.702 头颈部肿瘤
Q30.800x008 鼻神经胶质瘤
包含以下主要手术或操作：
01.2502 颞骨部分切除术
01.2503 颅骨部分切除术
01.2504 颅骨死骨切除术
01.6x00 颅骨病损的切除术
06.6x00 舌部甲状腺切除术
18.2101 耳前病损切除术
18.2900x003 耳廓病损切除术
18.2900x009 外耳道病损切除术
18.2901 外耳病损切除术
18.3100 外耳病损根治性切除术
18.3900x003 耳廓切除术
18.3900x005 耳廓部分切除术
20.4900x004 乳突切除术
20.4900x008 开放式乳突改良根治术
20.4900x009 完壁式乳突改良根治术
20.4901 乳突改良根治术
20.4902 乳突病损切除术
20.5100 中耳病损切除术
20.5901 岩锥病损切除术
22.2x00x009 鼻内窥镜下上颌窦根治术
22.3100x002 上颌窦根治术
22.4201 额窦病损切除术
22.4202 内镜下额窦病损切除术
22.6001 鼻窦病损切除术
22.6002 内镜下鼻窦病损切除术
22.6100 经考德威尔-卢克入路上颌窦病损切除术
22.6200x004 上颌窦病损切除术
22.6201 内镜下上颌窦病损切除术
22.6300 筛窦切除术
22.6300x011 鼻内窥镜下钩突切除术
22.6300x012 筛窦部分切除术
22.6301 内镜下筛窦切除术
22.6302 筛窦病损切除术
22.6303 内镜下筛窦病损切除术
22.6400 蝶窦切除术
22.6401 内镜下蝶窦切除术
22.6402 蝶窦病损切除术
22.6403 内镜下蝶窦病损切除术
24.3100x003 牙龈病损切除术
24.4x05 牙槽病损切除术
24.5x03 牙槽部分切除术
25.1x01 舌病损切除术
25.1x02 舌病损破坏术
25.1x03 舌射频治疗术
25.1x04 支撑喉镜下舌根部病损切除术
25.2x00 舌部分切除术
25.2x01 半舌切除术
25.3x00 舌全部切除术
25.4x00x001 舌扩大性切除术
26.2901 腮腺病损切除术
26.2902 涎腺病损切除术
26.2903 舌下腺病损切除术
26.2904 颌下腺病损切除术
26.2906 副腮腺病损切除术
26.3000 涎腺切除术
26.3100x008 腮腺深叶切除术
26.3100x009 腮腺浅叶切除术
26.3101 腮腺部分切除术
26.3102 腮腺叶切除术
26.3103 舌下腺部分切除术
26.3104 颌下腺部分切除术
26.3105 副腮腺切除术
26.3200x001 唇腺切除术
26.3201 腮腺切除术
26.3202 舌下腺切除术
26.3203 颌下腺切除术
27.3101 硬腭病损切除术
27.3104 硬腭部分切除术
27.3200x001 硬腭病损广泛切除术
27.3201 牙槽骨隆突切除修整术
27.3202 腭广泛切除术
27.3203 腭全切除术
27.4200 唇病损广泛切除术
27.4301 唇病损切除术
27.4302 唇病损激光烧灼术
27.4900x007 口底病损切除术
27.4900x009 口腔病损激光烧灼术
27.4900x014 软腭病损射频消融术
27.4900x018 磨牙后区病损切除术
27.4900x019 口角病损切除术
27.4900x020 软腭部分切除术
27.4902 颌下区病损切除术
27.4903 颊内部病损切除术
27.4904 软腭病损切除术
27.4905 鼻唇病损切除术
27.4906 口腔病损切除术
27.4907 口病损射频消融术
27.4908 口病损激光烧灼术
27.4909 软腭射频消融术
27.4910 软腭切除术
27.7200 腭垂切除术
27.7201 腭垂部分切除术
27.7202 悬雍垂激光切除术
27.7901 悬雍垂病损切除术
28.2x00x002 扁桃体切除术
28.2x00x003 支撑喉镜下扁桃体切除术
28.2x01 扁桃体射频消融术
28.2x02 扁桃体激光切除术
28.2x03 扁桃体等离子切除术
28.2x04 内镜下扁桃体切除术
28.3x01 扁桃体伴腺样体切除术
28.3x02 扁桃体部分切除伴腺样体切除术
28.3x03 扁桃体伴腺样体等离子切除术
28.4x00 扁桃腺残体切除术
28.5x01 舌扁桃体激光消融术
28.5x02 内镜下舌扁桃体部分切除术
28.5x03 舌扁桃体射频消融术
28.6x00x001 鼻内镜下经鼻腺样体切除术
28.6x00x002 腺样体切除术
28.6x00x004 支撑喉镜下残余腺样增殖体体切除术
28.6x00x005 鼻内镜下腺样体消融术
28.6x01 腺样体等离子切除术
28.6x02 内镜下腺样体切除术
28.6x03 内镜下残余腺样增殖体切除术
29.3300x001 下咽切除术
29.3300x002 部分咽切除术
29.3900x001 鼻咽病损切除术
29.3900x007 支撑喉镜下鼻咽病损切除术
29.3900x010 下咽病损切除术
29.3900x012 咽部病损激光烧灼术
29.3900x019 咽旁间隙病损切除术
29.3901 咽部病损切除术
29.3902 咽旁病损切除术
29.3903 翼腭窝病损切除术
29.3905 支撑喉镜下咽部病损切除术
29.3906 支撑喉镜下咽部病损激光切除术
29.3907 支撑喉镜下咽部病损射频消融术
29.3908 内镜下鼻咽病损切除术
29.3909 内镜下梨状窝病损切除术
