包含以下主要诊断：
C91.000 急性淋巴细胞白血病
C91.000x006 前B细胞急性淋巴细胞白血病
C91.000x007 前T细胞急性淋巴细胞白血病
C91.000x009 B淋巴母细胞性白血病/淋巴瘤
C91.000x012 急性淋巴细胞白血病L1伴缓解
C91.000x013 急性淋巴细胞白血病L2伴缓解
C91.000x014 急性淋巴细胞白血病L3伴缓解
C91.000x015 慢性粒细胞性白血病伴缓解（急淋变）
C91.000x016 T淋巴母细胞白血病/淋巴瘤
C91.000x017 前T细胞急性淋巴细胞白血病伴缓解
C91.001 急性淋巴细胞性白血病，L1型
C91.002 急性淋巴细胞性白血病，L2型
C91.003 急性淋巴细胞性白血病，L3型
C91.004 慢性粒细胞性白血病，急淋变
C91.006 急性淋巴细胞白血病，完全缓解
C91.007 成人Ph+急性淋巴细胞白血病（ALL）
C91.008 成人Ph-急性淋巴细胞白血病（ALL）
C91.100x012 慢性淋巴细胞性白血病，急性变
C91.800 伯基特型成熟B细胞白血病
C92.000 急性髓细胞白血病
C92.000x003 急性粒细胞性白血病
C92.000x006 急性嗜碱性粒细胞白血病
C92.000x011 急性粒细胞性白血病未分化型伴缓解（M1型）
C92.000x012 急性粒细胞性白血病部分分化型伴缓解（M2型）
C92.000x013 急性粒细胞性白血病伴缓解
C92.000x014 急性髓系白血病，伴有异常的骨髓嗜酸性粒细胞
C92.000x015 急性髓系白血病，最低分化
C92.000x016 急性髓系白血病，伴有成熟
C92.000x017 急性髓系白血病，完全缓解
C92.000x018 急性髓系白血病，t（6;9）（p23;q34）;DEK-NUP214
C92.001 急性髓细胞白血病，微分化型
C92.002 急性髓细胞白血病，不伴有成熟
C92.003 急性髓细胞白血病，1/ETO型
C92.004 急性髓细胞白血病，M0型
C92.005 急性髓细胞白血病，M1型
C92.006 急性髓细胞白血病，M2型
C92.007 急性髓细胞白血病，t（8;21）
C92.008 急性髓细胞白血病（没有FAB分类），未特指
C92.009 转化过程中难治性贫血伴原始细胞增多
C92.100x002 慢性粒细胞性白血病（急性变）
C92.100x012 慢性粒细胞性白血病伴缓解（急性变）
C92.100x017 慢性髓系白血病，急性发作
C92.400x011 急性早幼粒细胞白血病伴缓解（M3型）
C92.401 急性早幼粒细胞性白血病，完全缓解
C92.402 急性髓细胞白血病，M3型
C92.403 急性髓细胞白血病，M3伴（15；17）伴多样型
C92.500x011 急性粒单核细胞白血病伴缓解（M4型）
C92.501 急性髓细胞白血病，M4型
C92.502 急性髓细胞白血病，M4伴t（16；16）伴多样型
C92.600 急性髓系白血病伴11q23异常
C92.601 急性髓系白血病伴MLL基因变异
C92.800 急性髓系白血病伴多系增生异常
C93.000x011 急性单核细胞性白血病伴缓解（M5型）
C93.000x016 急性单核细胞白血病伴缓解
C93.001 急性髓细胞白血病，M5a型
C93.002 急性髓细胞白血病，M5b型
C93.003 急性髓细胞白血病，M5型
C93.100x012 慢性单核细胞白血病，急性加重
C94.000x001 急性红白血病（M6型）
C94.000x011 急性红白血病伴缓解（M6型）
C94.001 红白血病
C94.004 急性髓系白血病,M6（a）（b）
C94.200 急性原巨核细胞白血病
C94.200x011 急性巨核细胞白血病伴缓解（M7型）
C94.201 急性巨核细胞性白血病
C94.202 急性髓系白血病，M7
C94.400 急性全骨髓增殖症伴骨髓纤维化
C94.400x001 急性骨髓纤维化
C94.702 急性嗜碱细胞性白血病
C95.000 急性白血病
C95.000x002 急性白血病髓外复发
C95.000x003 急性非淋巴细胞性白血病
C95.000x015 急性白血病（谱系未定）
C95.000x016 B淋巴细胞和髓系混合表型急性白血病
C95.000x017 T淋巴细胞和髓系混合表型急性白血病
C95.000x018 NK细胞淋巴母细胞性白血病/淋巴瘤
C95.000x101 急性白血病伴缓解
C95.000x102 急性白血病髓外复发伴缓解
C95.000x115 急性白血病伴缓解（谱系未定）
C95.000x116 B淋巴细胞和髓系混合表型急性白血病伴缓解
C95.000x117 T淋巴细胞和髓系混合表型急性白血病伴缓解
C95.000x118 NK细胞淋巴母细胞性白血病/淋巴瘤伴缓解
C95.002 干细胞白血病
C95.003 未分化细胞白血病
C95.004 急性双系白血病
C95.005 急性混合型单系白血病
C95.006 急性双表型白血病
C95.100x012 慢性白血病急性加重
包含以下主要手术或操作：
99.2500x017 化学物质栓塞
99.2500x036 椎管内注射化疗药物
99.2500x037 超声内镜下化疗药物注射
99.2500x038 皮下注射化疗药物
99.2502 动脉注射化疗药物
99.2503 静脉注射化疗药物
99.2504 肌肉注射化疗药物
99.2505 化疗药物灌注
99.2506 膀胱灌注化疗
99.2800x003 抗肿瘤基因治疗
99.2800x004 肌肉注射抗肿瘤免疫抑制剂治疗
99.2800x005 静脉注射抗肿瘤免疫制剂治疗
99.2800x006 分子靶向治疗
99.2801 抗肿瘤免疫治疗
