包含以下主要诊断：
C40.000x006 肩关节恶性肿瘤
C40.001 肩胛骨恶性肿瘤
C40.002 肱骨恶性肿瘤
C40.003 尺骨恶性肿瘤
C40.004 桡骨恶性肿瘤
C40.005 肘关节恶性肿瘤
C40.200x005 膝关节恶性肿瘤
C40.201 股骨恶性肿瘤
C40.202 胫骨恶性肿瘤
C40.203 腓骨恶性肿瘤
C40.300x003 踝骨恶性肿瘤
C40.300x004 距骨恶性肿瘤
C40.300x005 跟骨恶性肿瘤
C40.300x009 足骨恶性肿瘤
C40.300x010 踝关节恶性肿瘤
C40.300x011 足关节恶性肿瘤
C40.301 髌骨恶性肿瘤
C40.302 跗骨恶性肿瘤
C40.800 四肢骨和关节软骨交搭跨越恶性肿瘤的损害
C40.900x001 四肢骨恶性肿瘤
C40.901 四肢关节软骨恶性肿瘤
C41.200x005 椎骨恶性肿瘤
C41.201 颈椎恶性肿瘤
C41.202 胸椎恶性肿瘤
C41.203 腰椎恶性肿瘤
C41.300x002 锁骨恶性肿瘤
C41.301 胸骨恶性肿瘤
C41.302 肋骨恶性肿瘤
C41.400x008 髋关节恶性肿瘤
C41.400x009 髋臼恶性肿瘤
C41.401 盆骨恶性肿瘤
C41.402 髋骨恶性肿瘤
C41.403 骶骨恶性肿瘤
C41.404 耻骨恶性肿瘤
C41.405 尾骨恶性肿瘤
C41.406 髂骨恶性肿瘤
C41.800 骨和关节软骨交搭跨越恶性肿瘤的损害
C41.800x001 腰椎及骶椎恶性肿瘤
C41.900x001 骨恶性肿瘤
C41.901 关节软骨恶性肿瘤
C49.100x001 上肢结缔组织恶性肿瘤
C49.100x002 上肢软组织恶性肿瘤
C49.101 肩结缔组织和软组织恶性肿瘤
C49.102 肘结缔组织恶性肿瘤
C49.200x001 下肢结缔组织恶性肿瘤
C49.200x002 下肢软组织恶性肿瘤
C49.200x005 膝部结缔组织和软组织恶性肿瘤
C49.200x006 踝部结缔组织恶性肿瘤
C49.201 髋结缔组织和软组织恶性肿瘤
C49.202 足结缔组织恶性肿瘤
C49.300x002 肩胛区结缔组织恶性肿瘤
C49.300x003 胸部结缔组织恶性肿瘤
C49.301 腋下结缔组织恶性肿瘤
C49.400 腹部结缔组织和软组织恶性肿瘤
C49.400x003 腹壁结缔组织恶性肿瘤
