A34.x00	产科破伤风
O99.600x031	产褥期消化系统疾病
O99.601	妊娠合并上消化道出血
O99.602	妊娠合并牙周炎
O99.603	妊娠合并急性胃炎
O99.604	妊娠合并胃炎
O99.605	妊娠合并出血性胃炎
O99.607	妊娠合并肠梗阻
O99.609	妊娠合并小肠疝
O99.610	妊娠合并阑尾穿孔
O99.611	妊娠合并阑尾炎
O99.614	妊娠合并门脉高压
O99.616	妊娠合并胆囊息肉
O99.617	妊娠合并胆囊炎
O99.618	妊娠合并硬化性胆管炎
O99.619	妊娠合并急性胰腺炎
O99.620	妊娠合并腹膜囊肿
O99.621	妊娠合并腹膜炎
O99.623	妊娠合并腹股沟疝
O99.624	妊娠合并胃穿孔
O99.700x006	妊娠合并颈部脓肿
O99.700x008	妊娠合并瘙痒性毛囊炎
O99.700x009	妊娠合并瘙痒性荨麻疹性丘疹
O99.700x010	妊娠合并线状IgM皮病
O99.700x011	妊娠合并丘疹性皮炎
O99.700x012	妊娠合并瘙痒性荨麻疹性斑块
O99.700x013	妊娠合并皮肤和皮下组织的疾病
O99.700x021	分娩合并皮肤和皮下组织的疾病
O99.700x031	产褥期皮肤和皮下组织的疾病
O99.703	妊娠合并红皮病
O99.704	妊娠合并疖肿
O99.705	妊娠合并结节性红斑
O99.706	妊娠合并玫瑰糠疹
O99.708	妊娠合并皮炎
O99.709	妊娠合并荨麻疹
O99.800	疾病和情况,其他特指的,并发于妊娠、分娩和产褥期
O99.800x012	妊娠合并原位肿瘤
O99.800x014	妊娠合并交界性肿瘤
O99.800x016	妊娠合并垂体瘤
O99.800x017	妊娠合并骨髓异常增生综合征
O99.800x018	妊娠合并脑肿瘤
O99.800x019	妊娠合并血管瘤
O99.800x021	分娩合并恶性肿瘤
O99.800x022	分娩合并原位肿瘤
O99.800x024	分娩合并交界性肿瘤
O99.800x031	产褥期恶性肿瘤
O99.800x032	产褥期原位肿瘤
O99.800x034	产褥期交界性肿瘤
O99.800x111	妊娠合并眼和附器疾病
O99.800x112	妊娠合并耳和乳突疾病
O99.800x114	妊娠合并视网膜病
O99.800x115	妊娠合并黄斑区囊肿
O99.800x116	妊娠合并视野缺损
O99.800x121	分娩合并眼和附器疾病
O99.800x122	分娩合并耳和乳突疾病
O99.800x131	产褥期眼和附器疾病
O99.800x132	产褥期耳和乳突疾病
O99.800x211	妊娠合并肌肉骨骼系统和结缔组织疾病
O99.800x213	妊娠合并硬皮病
O99.800x215	妊娠合并腰椎间盘突出
O99.800x216	妊娠合并强直性脊柱炎
O99.800x217	产褥期股内收肌腱炎
O99.800x221	分娩合并肌肉骨骼系统和结缔组织疾病
O99.800x231	产褥期肌肉骨骼系统和结缔组织疾病
O99.800x314	妊娠合并尿道结石
O99.800x315	妊娠合并肾小管酸中毒
O99.800x316	妊娠合并输尿管结石
O99.800x318	妊娠合并卵巢过度刺激综合征
O99.800x321	分娩合并泌尿生殖系统疾病
O99.800x331	产褥期泌尿生殖系统疾病
O99.800x411	妊娠合并先天性畸形、变形和染色体异常
O99.800x412	妊娠合并先天性心脏病
O99.800x413	妊娠合并先天性脑血管畸形
O99.800x414	妊娠合并先天性房间隔缺损
O99.800x415	妊娠合并肾畸形
O99.800x416	妊娠合并先天性脊柱畸形
O99.800x417	妊娠合并先天性肾缺失
O99.800x421	分娩合并先天性畸形、变形和染色体异常
O99.800x431	产褥期先天性畸形、变形和染色体异常
O99.801	妊娠合并良性肿瘤
O99.802	妊娠合并恶性肿瘤
O99.803	妊娠合并眼疾病
O99.804	妊娠合并肌肉骨骼疾病
O99.805	妊娠合并结缔组织疾病
O99.806	妊娠合并泌尿生殖系统疾病
O99.807	妊娠合并先天性畸形
O99.809	妊娠合并白血病
O99.810	妊娠合并肾结石
O99.811	妊娠合并系统性红斑狼疮
O99.812	妊娠合并干燥综合征
O99.813	妊娠合并风湿病
O99.814	妊娠合并视网膜剥离
O14.000x001	轻度先兆子痫
O14.000x002	中度先兆子痫
O14.900	子痫前期
O44.000x001	低置胎盘
O61.000x001	后叶催产素引产失败
O61.000x002	前列腺素引产失败
O64.001	持续性枕横位难产
O64.002	持续性枕后位难产
