A34.x00	产科破伤风
O10.101	妊娠合并原有高血压性心脏病
O10.201	妊娠合并原有高血压性肾病
O10.301	妊娠合并原有高血压性心脏病和肾病
O10.401	妊娠合并原有继发性高血压
O10.900x001	妊娠合并原有高血压
O11.x01	慢性高血压并发子痫前期
O12.200	妊娠水肿伴有蛋白尿
O13.x00	妊娠[妊娠引起的]高血压
O14.100x002	重度子痫前期
O14.200	HELLP综合征
O15.001	产前子痫
O15.101	产时子痫
O15.201	产后子痫
O15.900	子痫
O21.100	妊娠剧吐伴有代谢紊乱
O21.100x002	妊娠剧吐伴酸中毒
O21.100x003	妊娠剧吐伴脱水
O21.100x004	妊娠剧吐伴碳水化合物缺失
O21.100x005	妊娠剧吐伴电解质失衡
O21.100x006	妊娠剧吐伴酮症
O21.200	妊娠晚期呕吐
O21.800	并发于妊娠的其他呕吐
O22.300	妊娠期深静脉血栓形成
O22.500	妊娠期大脑静脉血栓形成
O22.902	妊娠期静脉血栓形成
O23.300	妊娠期泌尿道其他部位感染
O23.400	妊娠期泌尿道感染
O23.500	妊娠期生殖道感染
O23.500x001	妊娠期宫腔感染
O23.503	妊娠合并输卵管坏死
O23.901	妊娠期泌尿生殖道感染
O24.000	妊娠期伴原有的1型糖尿病
O24.000x021	妊娠合并原有1型糖尿病（胰岛素治疗）
O24.100	妊娠期伴原有的2型糖尿病
O24.100x021	妊娠合并原有2型糖尿病（胰岛素治疗）
O24.200x001	妊娠合并原有营养不良性糖尿病
O24.300x001	妊娠合并原有糖尿病
O24.301	妊娠期伴原有糖尿病性酮症
O24.400	妊娠期发生的糖尿病
O25.x00	妊娠期营养不良
O25.x01	产褥期营养不良
O26.602	妊娠合并肝功能衰竭
O26.603	妊娠合并肝损害
O26.604	妊娠合并肝硬化
O26.606	妊娠期肝内胆汁淤积症
O26.607	妊娠期急性脂肪肝
O26.608	妊娠合并自身免疫性肝炎
O26.800x013	妊娠合并慢性肾功能不全
O26.800x015	妊娠合并急性肾功能不全
O26.801	妊娠合并肾病综合征
O26.802	妊娠合并肾衰竭
O26.803	妊娠合并肾积水
O26.804	妊娠合并肾小球肾炎
O26.806	妊娠合并周围神经炎
O29.000x001	妊娠期麻醉相关的吸入性肺炎
O29.000x002	妊娠期麻醉相关的胃内容物吸入
O29.000x003	妊娠期麻醉相关的门德尔松综合征
O29.000x004	妊娠期麻醉相关的肺压迫性萎陷
O29.000x005	妊娠期麻醉相关的分泌物吸入
O29.100x001	妊娠期麻醉相关的心脏停搏
O29.100x002	妊娠期麻醉相关的心力衰竭
O29.200	妊娠期间麻醉的中枢神经系统并发症
O29.300	妊娠期间局部麻醉的中毒反应
O29.400	妊娠期间脊髓和硬膜外麻醉诱发的头痛
O29.500	妊娠期间脊髓和硬膜外麻醉的其他并发症
O29.600	妊娠期间插管失败或困难
O29.800	妊娠期间麻醉的其他并发症
O29.900	妊娠期间麻醉并发症
O30.000	双胎妊娠
O30.100	三胎妊娠
O30.200	四胎妊娠
O30.800	多胎妊娠,其他的
O30.801	五胎妊娠
O30.900	多胎妊娠
O31.100	一个或多个胎儿流产后的继续妊娠
O31.200	一个或多个胎儿宫内死亡后的继续妊娠
O31.201	双胎妊娠一胎宫内死亡
O31.800	特发于多胎妊娠的其他并发症
O31.800x003	无心双胎
O31.800x004	双胎交锁
O31.800x005	选择性宫内生长受限
O31.800x007	双胎选择性生长不一致
O32.000x001	不稳定产式
O32.201	肩先露
O32.301	额先露
O32.302	颏先露
O32.303	面先露
O32.500	为多胎妊娠伴有一个或多个胎儿先露异常给予的孕产妇医疗
O32.601	复合先露
O32.801	后不均倾
O32.802	前不均倾
O34.000x003	妊娠合并残角子宫
O34.000x006	妊娠合并双子宫双子宫颈双阴道
O34.004	妊娠合并子宫畸形
O34.005	妊娠合并子宫纵隔
O34.100x001	妊娠合并子宫肌瘤
O34.100x011	妊娠合并子宫肿瘤
O34.101	妊娠合并子宫韧带良性肿瘤
O34.102	妊娠合并子宫体肿瘤
O34.400x010	妊娠合并子宫颈术后宫颈异常
O34.400x013	妊娠合并子宫颈肌瘤
O34.406	妊娠合并宫颈肿瘤
O34.500x001	妊娠合并子宫扭转
O34.500x002	妊娠合并子宫嵌顿
O34.500x007	妊娠合并腹壁子宫内膜异位症
O34.700	为外阴和会阴异常给予的孕产妇医疗
O34.800	为盆腔器官其他异常给予的孕产妇医疗
O34.800x012	妊娠合并盆腔子宫内膜异位
O34.800x014	妊娠合并卵巢囊肿蒂扭转
O34.800x015	妊娠合并卵巢肿瘤蒂扭转
O34.803	妊娠合并盆底僵直
O34.806	妊娠合并卵巢扭转
O34.900	为盆腔器官异常给予的孕产妇医疗
O35.700x003	侵入性胎儿手术后的孕产妇医疗
O35.700x006	手术对胎儿损害的孕产妇医疗
O35.800x002	为妊娠合并李斯特菌所致胎儿的（可疑）损害给予的孕产妇医疗
O35.811	胎儿联体双胎畸形
O36.100x002	同种免疫伴胎儿水肿
O36.201	妊娠伴胎儿水肿
O36.202	镜像综合征
O36.203	双胎镜像综合征
O36.700x001	腹腔妊娠活胎
O43.001	双胎输血综合征
O43.002	胎儿母体输血综合征
O43.003	双胎脐动脉返流序列征
O43.004	双胎动脉反向灌注综合征
O43.005	双胎贫血-红细胞增多序列症
O43.200x001	胎盘植入
O43.200x002	胎盘植入（穿透型）
O43.800	胎盘疾患,其他的
O44.000x002	凶险性前置胎盘
O44.000x003	前置胎盘
O44.001	边缘性前置胎盘
O44.002	部分性前置胎盘
O44.003	完全性前置胎盘
O44.100	前置胎盘伴有出血
O44.100x001	低置胎盘伴出血
O44.100x002	凶险性前置胎盘伴出血
O44.101	边缘性前置胎盘伴出血
O44.102	部分性前置胎盘伴出血
O44.103	完全性前置胎盘伴出血
O45.000	胎盘早期剥离伴有凝血缺陷
O45.000x001	胎盘早期剥离伴纤维蛋白原缺乏血症
O45.000x003	胎盘早期剥离伴纤维蛋白溶解亢进
O45.000x004	胎盘早期剥离伴低纤维蛋白原血症
O45.001	胎盘早剥伴播散性血管内凝血
O45.801	子宫胎盘卒中
O45.900	胎盘早期剥离
O46.000	产前出血伴有凝血缺陷
O46.000x001	产前出血伴纤维蛋白原缺乏血症
O46.000x003	产前出血伴纤维蛋白溶解亢进
O46.000x004	产前出血伴低纤维蛋白原血症
O46.001	产前播散性血管内凝血
O46.900	产前出血
O60.100x002	早产伴自然临产经剖宫产
O61.800	引产失败,其他的
O61.900	引产失败
O62.300	急产
O62.400x006	子宫痉挛性狭窄环
O62.400x007	不协调性子宫收缩过强
O62.401	高张力子宫功能不良
O62.402	宫颈痉挛
O62.403	子宫病理性收缩环
O62.404	子宫难产
O62.405	子宫强直性收缩
O62.406	先兆子宫破裂
O63.100	第二期（产程）延长
O63.201	多胎延迟性分娩
O64.100x002	足先露引起的梗阻性分娩
O64.100x003	膝先露难产
O64.101	臀先露难产
O64.200	面先露引起的梗阻性分娩
O64.200x002	颏先露引起的梗阻性分娩
O64.301	额先露难产
O64.401	肩先露难产
O64.501	复合先露难产
O64.800	胎位不正和先露异常引起的梗阻性分娩,其他的
O64.801	高直后位难产
O64.900	胎位不正和先露异常引起的梗阻性分娩
O65.500x002	子宫瘢痕引起的梗阻性分娩
O65.501	宫颈水肿难产
O66.001	肩位难产
O66.101	双胎交锁难产
O66.201	巨大儿难产
O66.300x001	联体双胎引起的梗阻性分娩
O66.300x002	胎儿水肿引起的梗阻性分娩
O66.300x003	胎儿骶部畸胎瘤引起的梗阻性分娩
O66.300x004	胎儿脊髓脊膜膨出引起的梗阻性分娩
O66.300x005	胎儿肿瘤引起的梗阻性分娩
O66.300x006	胎儿腹水引起的梗阻性分娩
O66.300x007	胎儿脑积水引起的梗阻性分娩
O66.500x001	真空吸引器应用失败
O66.500x002	产钳应用失败
O66.800	梗阻性分娩,其他特指的
O66.901	难产
O67.000	产时出血伴有凝血缺陷
O67.000x002	分娩期弥散性血管内凝血
O67.800	产时出血,其他的
O67.900	产时出血
O68.201	急性混合型胎儿宫内窘迫
O68.300x001	分娩伴胎儿酸碱平衡紊乱
O69.001	脐带脱垂
O69.400	产程和分娩并发前置血管
O69.401	脐带血管前置
O70.100	分娩时II度会阴裂伤
O70.100x002	分娩时会阴裂伤累及盆底
O70.100x003	分娩时会阴裂伤累及会阴肌肉
O70.100x004	分娩时会阴裂伤累及阴道肌肉
O70.100x005	分娩时会阴-阴道复杂裂伤
O70.200	分娩时III度会阴裂伤
O70.200x001	分娩时会阴裂伤累及阴道直肠隔
O70.200x003	分娩时会阴裂伤累及肛门括约肌
O70.300	分娩时IV度会阴裂伤
O70.300x001	分娩时会阴裂伤累及肛门粘膜
O70.300x002	分娩时会阴裂伤累及直肠粘膜
O71.001	分娩前子宫破裂
O71.100x001	分娩期子宫破裂
O71.101	分娩中不完性子宫破裂
O71.200	产后子宫内翻
O71.201	产后子宫外翻
O71.202	分娩并发子宫内翻
O71.301	产伤性宫颈裂伤
O71.400	产科高位阴道裂伤
O71.401	产伤性中上三分之一阴道裂伤
O71.402	产伤性阴道后穹隆裂伤
O71.500	伤及盆腔器官的其他产科损伤
O71.500x004	分娩伴盆腔器官损伤
O71.501	产伤性膀胱损伤
O71.502	产伤性尿道裂伤
O71.600	伤及骨盆关节和韧带的产科损害
O71.700x001	分娩伴阔韧带血肿
O71.700x002	分娩伴子宫壁血肿
O71.702	产伤性盆腔血肿
O71.802	产伤性腰骶神经根损害
O71.900	产科创伤
O72.000	第三产程出血
O72.000x003	胎盘嵌顿伴出血
O72.001	胎盘粘连伴出血
O72.002	胎盘滞留伴出血
O72.003	胎盘植入伴出血
O72.100	即刻产后出血,其他的
O72.101	产后即时出血
O72.201	胎膜滞留伴出血
O72.202	延迟性产后出血
O72.300	产后凝血缺陷
O72.300x002	产后纤维蛋白原缺乏血症
O72.300x003	产后纤维蛋白溶解
O72.301	产后播散性血管内凝血
O73.000	胎盘滞留不伴有出血
O73.001	胎盘粘连不伴出血
O73.002	胎盘植入不伴出血
O73.101	胎膜滞留不伴出血
O73.102	胎盘部分滞留不伴出血
O74.000x001	分娩期麻醉引起的吸入性肺炎
O74.000x002	分娩期麻醉相关的门德尔松综合征
O74.100	产程和分娩期间麻醉的其他肺部并发症
O74.200x001	分娩期麻醉相关的心脏停搏
O74.200x002	分娩期麻醉相关的心力衰竭
O74.300	产程和分娩期间麻醉的中枢神经系统并发症
O74.400	产程和分娩期间局部麻醉的毒性反应
O74.500	产程和分娩期间脊髓和硬膜外麻醉诱发的头痛
O74.600	产程和分娩期间脊髓和硬膜外麻醉的其他并发症
O74.700	产程和分娩期间插管失败或困难
O74.800	产程和分娩期间麻醉的其他并发症
O74.900x001	分娩期麻醉并发症
O75.000	产程和分娩期间母体窘迫
O75.101	产科休克
O75.200	产程期间发热,不可归类在他处者
O75.300x001	分娩期脓毒症
O75.300x002	分娩期宫内感染
O75.401	产科术后心脏停搏
O75.402	产科术中心脏停搏
O75.403	分娩伴心力衰竭
O75.700x001	剖宫产后阴道分娩
O75.800x002	分娩期血尿
O75.900	产程和分娩并发症
O80.100	臀位顺产
O81.000	低位产钳术
O81.100	中位产钳术
O81.200	中位产钳术伴有旋转
O81.301	产钳助产
O81.401	吸引器助产分娩
O81.500	同时借助产钳和真空吸引器分娩
O82.201	经剖宫产子宫切除术的单胎分娩
O82.800	经其他剖宫产术的单胎分娩
O82.900	经剖宫产术分娩
O83.000	胎臀牵引术
O83.101	臀位助产的单胎分娩
O83.200	手法助产的分娩,其他的
O83.300	腹腔妊娠中能活胎儿的分娩
O83.400	毁胎手术分娩
O83.800	助产的单胎分娩,其他特指的
O83.900	助产的单胎分娩
O84.000	多胎分娩均为顺产
O84.100	多胎分娩均借助产钳和真空吸引器
O84.200	多胎分娩均经剖宫产术
O84.800	多胎分娩,其他的
O84.900	多胎分娩
O85.x00	产褥期脓毒病
O85.x00x006	产褥期菌血症
O85.x01	产褥期腹膜炎
O86.300x001	产褥期泌尿生殖道感染
O86.401	产褥期不明原因发热
O86.402	产褥期未特指的感染
O86.800x001	剖宫产后腹内感染
O86.801	产褥期丹毒
O86.802	产褥期盆腔炎
O87.000	产褥期血栓性浅静脉炎
O87.100	产褥期深静脉血栓形成
O87.300	产褥期大脑静脉血栓形成
O87.301	产褥期大脑静脉窦血栓形成
O87.900x003	产褥期血栓形成
O88.000	产科空气栓塞
O88.100	羊水栓塞
O88.101	妊娠过敏样综合征
O88.200	产科血凝块栓塞
O88.201	产科肺栓塞
O88.300x001	产科脓血性栓塞
O88.300x002	产科脓毒性栓塞
O88.800x001	产科脂肪栓塞
O89.000x001	产褥期麻醉相关的吸入性肺炎
O89.000x002	产褥期麻醉相关的胃内容物或分泌物吸入
O89.000x003	产褥期麻醉相关的门德尔松综合征
O89.000x004	产褥期麻醉相关的肺压力性萎陷
O89.100x001	产褥期麻醉相关的心脏停搏
O89.100x002	产褥期麻醉相关的心力衰竭
O89.200	产褥期中麻醉的中枢神经系统并发症
O89.300	产褥期中局部麻醉的中毒反应
O89.400	产褥期中脊髓和硬膜外麻醉诱发的头痛
O89.500	产褥期中脊髓和硬膜外麻醉的其他并发症
O89.600	产褥期中插管失败或困难
O89.800	产褥期中麻醉的其他并发症
O89.900	产褥期中麻醉并发症
O90.000	剖宫产术的伤口破裂
O90.101	产褥期继发性会阴撕裂
O90.102	会阴切开伤口裂开
O90.300	产褥期心肌病
O90.400	产后急性肾衰竭
O90.400x002	产褥期肝肾综合征
O90.500	产后甲状腺炎
O90.800x004	产褥期尿潴留
O90.800x005	产褥期肾炎
O91.100x001	妊娠期化脓性乳腺炎
O91.101	产褥期乳腺脓肿
O91.102	产褥期化脓性乳腺炎
O91.200x001	妊娠期实质性乳腺炎
O91.200x003	妊娠期间质性乳腺炎
O91.200x004	妊娠期乳房淋巴管炎
O91.200x005	产褥期实质性乳腺炎
O91.200x007	产褥期间质性乳腺炎
O91.200x008	产褥期乳房淋巴管炎
O91.201	产褥期乳腺炎
O91.202	妊娠期乳腺炎
O95.x00	产科死亡
O96.000	直接产科原因的死亡,发生于分娩后42天以上一年以内
O96.100	间接产科原因的死亡,发生于分娩后42天以上一年以内
O96.900	未特指产科原因的死亡,发生于分娩后42天以上一年以内
O97.000	直接产科原因后遗症的死亡
O97.100	间接产科原因后遗症的死亡
O97.900	产科原因后遗症的死亡
O98.000	结核并发于妊娠、分娩和产褥期
O98.000x021	分娩合并结核病
O98.000x031	产褥期结核病
O98.001	妊娠合并结核病
O98.100	梅毒并发于妊娠、分娩和产褥期
O98.100x021	分娩合并梅毒
O98.100x031	产褥期梅毒
O98.101	妊娠合并梅毒
O98.200	淋病并发于妊娠、分娩和产褥期
O98.200x021	分娩合并淋病
O98.200x031	产褥期淋病
O98.201	妊娠合并淋病
O98.300	主要为性传播模式的其他感染并发于妊娠、分娩和产褥期
O98.300x013	妊娠合并生殖道沙眼衣原体感染
O98.400x005	妊娠合并乙型丁型病毒性肝炎
O98.406	妊娠合并重症病毒性肝炎
O98.500	其他病毒性疾病,并发于妊娠、分娩和产褥期
O98.501	妊娠合并病毒性脑炎
O98.503	妊娠合并巨细胞病毒感染
O98.600	原虫性疾病并发于妊娠、分娩和产褥期
O98.600x001	孕妇疟疾
O98.601	妊娠合并弓形虫病
O98.700	HIV并发于妊娠、分娩和产褥期
O98.800	孕产妇其他的传染病和寄生虫病并发于妊娠、分娩和产褥期
O98.800x002	妊娠合并真菌性阴道炎
O98.800x007	妊娠合并菌痢
O98.800x009	妊娠合并沙眼衣原体感染
O98.800x013	妊娠合并真菌性外阴炎
O98.800x032	产褥期寄生虫病
O98.800x033	妊娠合并肺毛霉菌病
O98.800x035	妊娠合并急性胃肠炎
O98.800x036	妊娠合并肠炎
O98.800x037	妊娠合并腹泻
O98.801	妊娠合并脓毒症
O98.802	妊娠合并花斑癣
O98.803	妊娠合并脊髓灰质炎后遗症
O98.804	妊娠合并菌血症
O98.805	妊娠合并利斯特菌病
O98.808	妊娠合并阴道溶血性链球菌感染
O98.810	妊娠合并急性传染性肠胃炎
O98.811	妊娠合并传染性肠炎
O98.900	孕产妇的传染病或寄生虫病并发于妊娠、分娩和产褥期
O99.002	妊娠合并全血细胞减少
O99.003	妊娠合并再生障碍性贫血
O99.004	妊娠合并地中海贫血
O99.006	妊娠合并中度贫血
O99.007	妊娠合并重度贫血
O99.100x005	妊娠合并白细胞减少
O99.100x012	妊娠合并血液和造血器官疾病
O99.100x013	妊娠合并涉及免疫机制疾患
O99.100x022	分娩合并血液和造血器官疾病
O99.100x023	分娩合并涉及免疫机制疾患
O99.100x032	产褥期血液和造血器官疾病
O99.100x033	产褥期涉及免疫机制疾患
O99.101	妊娠合并血小板减少
O99.102	妊娠合并血小板减少性紫癜
O99.103	妊娠合并过敏性紫癜
O99.104	妊娠合并血友病
O99.105	妊娠合并凝血功能异常
O99.106	妊娠合并脾功能亢进
O99.107	妊娠合并家族性红细胞增多症
O99.108	妊娠合并类白血病反应
O99.109	妊娠合并抗磷脂抗体综合征
O99.200x014	产褥期低蛋白血症
O99.200x017	妊娠合并低钠血症
O99.200x021	分娩合并内分泌、营养和代谢疾病
O99.200x031	产褥期内分泌、营养和代谢疾病
