AA19	心肺移植
DE19	耳廓及外耳道畸形矫正
DE29	鳃裂畸形根治手术
DE39	耳廓及外耳道病损切除术
DE3D	耳廓及外耳道病损切除术,小于等于6岁
DE49	耳部其他小手术
DF19	鼻成形术
DF29	鼻腔、鼻窦手术
DG19	咽、喉、气管手术
DG1D	咽、喉、气管手术,小于等于6岁
DG29	扁桃体和／或腺样体切除手术
DH19	颅面骨正颌手术
DH29	颅面骨创伤手术
DH39	颞下颌关节手术
DH49	颅面骨其他手术
DJ19	头、颈、耳、鼻、咽、口其他手术
DK19	其他头、颈、耳、鼻、咽、口治疗操作
DR19	头、颈、耳、鼻、咽、口恶性肿瘤
DS19	平衡失调及听觉障碍
DT19	中耳炎及上呼吸道感染
DT1H	中耳炎及上呼吸道感染,大于等于70岁
DT29	会厌炎、喉炎及气管炎
DU19	头、颈、外耳、口鼻的创伤及变形
DV19	头、颈、耳、鼻、咽、口非恶性增生性疾病
DW19	口腔、牙齿有关疾病
DW1D	口腔、牙齿有关疾病,小于等于6岁
DW1H	口腔、牙齿有关疾病,大于等于70岁
DZ19	其他头、颈、耳、鼻、咽、口疾病
EB10	肺大手术,机器人辅助手术
EB19	肺大手术
EB29	肺其他手术
EC19	纵隔、气管、胸壁大手术
EC29	纵隔、气管、胸壁其他手术
ED11	除肺、纵隔、气管、胸壁外的其他手术,伴严重合并症或并发症
ED13	除肺、纵隔、气管、胸壁外的其他手术,伴一般合并症或并发症
ED15	除肺、纵隔、气管、胸壁外的其他手术,不伴合并症或并发症
EJ11	呼吸系统其他手术,伴严重合并症或并发症
EJ15	呼吸系统其他手术,不伴严重合并症或并发症
EK11	复杂呼吸介入手术／操作,伴严重合并症或并发症
EK13	复杂呼吸介入手术／操作,伴一般合并症或并发症
EK15	复杂呼吸介入手术／操作,不伴合并症或并发症
EK1G	复杂呼吸介入手术／操作,不伴合并症或并发症,大于等于70岁
EK21	一般呼吸介入手术／操作,伴严重合并症或并发症
EK23	一般呼吸介入手术／操作,伴一般合并症或并发症
EK25	一般呼吸介入手术／操作,不伴合并症或并发症
EK31	常规呼吸诊断性手术／操作,伴严重合并症或并发症
EK33	常规呼吸诊断性手术／操作,伴一般合并症或并发症
EK35	常规呼吸诊断性手术／操作,不伴合并症或并发症
EK3E	常规呼吸诊断性手术／操作,伴严重合并症或并发症,大于等于70岁
EK3F	常规呼吸诊断性手术／操作,伴一般合并症或并发症,大于等于70岁
EK3G	常规呼吸诊断性手术／操作,不伴合并症或并发症,大于等于70岁
EL19	有创呼吸机治疗小于96小时
EM11	呼吸系统感染／炎症的无创呼吸支持技术,伴严重合并症或并发症
EM15	呼吸系统感染／炎症的无创呼吸支持技术,不伴严重合并症或并发症
EM1G	呼吸系统感染／炎症的无创呼吸支持技术,不伴严重合并症或并发症,大于等于70岁
EM29	慢性气道阻塞病的无创呼吸支持技术
EN13	呼吸系统早期康复治疗,伴合并症或并发症
EN15	呼吸系统早期康复治疗,不伴合并症或并发症
EN1F	呼吸系统早期康复治疗,伴合并症或并发症,大于等于70岁
ER11	呼吸系统肿瘤,伴严重合并症或并发症
ER15	呼吸系统肿瘤,不伴严重合并症或并发症
ER23	肺水肿或呼吸衰竭,伴合并症或并发症
ER25	肺水肿或呼吸衰竭,不伴合并症或并发症
ES11	肺真菌病,伴严重合并症或并发症
ES13	肺真菌病,伴一般合并症或并发症
ES15	肺真菌病,不伴合并症或并发症
ES23	呼吸系统耐药结核,伴合并症或并发症
ES25	呼吸系统耐药结核,不伴合并症或并发症
ES31	呼吸系统非耐药结核,伴严重合并症或并发症
ES35	呼吸系统非耐药结核,不伴严重合并症或并发症
ES41	呼吸系统感染／炎症,伴严重合并症或并发症
ES43	呼吸系统感染／炎症,伴一般合并症或并发症
ES45	呼吸系统感染／炎症,不伴合并症或并发症
ES4E	呼吸系统感染／炎症,伴严重合并症或并发症,大于等于70岁
ES4F	呼吸系统感染／炎症,伴一般合并症或并发症,大于等于70岁
ES4G	呼吸系统感染／炎症,不伴合并症或并发症,大于等于70岁
ET13	肺间质性疾病,伴合并症或并发症
ET15	肺间质性疾病,不伴合并症或并发症
ET23	慢性气道阻塞病,伴合并症或并发症
ET25	慢性气道阻塞病,不伴合并症或并发症
EU13	重大胸部创伤,伴合并症或并发症
EU15	重大胸部创伤,不伴合并症或并发症
EV19	呼吸系统症状、体征
EW11	胸膜病变及胸腔积液,伴严重合并症或并发症
EW13	胸膜病变及胸腔积液,伴一般合并症或并发症
EW15	胸膜病变及胸腔积液,不伴合并症或并发症
EW1G	胸膜病变及胸腔积液,不伴合并症或并发症,大于等于70岁
EX13	哮喘及喘息性支气管炎,伴合并症或并发症
EX15	哮喘及喘息性支气管炎,不伴合并症或并发症
EX29	百日咳
EX2D	百日咳,小于等于6岁
EX39	急性支气管炎
EX3H	急性支气管炎,大于等于70岁
EZ13	其他呼吸系统疾病,伴合并症或并发症
EZ15	其他呼吸系统疾病,不伴合并症或并发症
FB19	瓣膜手术伴冠脉手术
FB21	心脏瓣膜手术,伴严重合并症或并发症
FB25	心脏瓣膜手术,不伴严重合并症或并发症
FB2G	心脏瓣膜手术,不伴严重合并症或并发症,大于等于70岁
FC19	冠状动脉手术
FD19	先天性心脏病复杂手术
FD23	先天性心脏病常规手术,伴合并症或并发症
FD25	先天性心脏病常规手术,不伴合并症或并发症
FE11	大血管复杂手术,伴严重合并症或并发症
FE15	大血管复杂手术,不伴严重合并症或并发症
FE29	大血管常规手术
FF19	外周血管手术伴介入操作
FF23	外周血管（除大隐静脉外）其他的手术,伴合并症或并发症
FF25	外周血管（除大隐静脉外）其他的手术,不伴合并症或并发症
FF39	大隐静脉和小隐静脉手术
FJ19	心血管系统其他手术
FJ1H	心血管系统其他手术,大于等于70岁
FK19	心脏循环辅助系统植入
FK29	伴急性心肌梗死／心衰／休克的心脏除颤器及心室同步
FK39	不伴急性心肌梗死／心衰／休克的心脏除颤器及心室同步
FK49	永久性起搏器植入／置换／更新
FL19	经皮瓣膜植入或修复术
FL29	经皮心脏消融术和经皮左心耳封堵术联合治疗
FL39	经皮心脏消融术伴房颤和／或房扑
FL49	经皮心脏消融术除房扑、房颤外其他心律失常
FL59	先天性心脏病介入治疗
FM19	经皮大血管复杂手术
FM29	经皮大血管常规手术
FM39	经皮冠状动脉支架植入
FM49	其他经皮心血管治疗
FM59	经皮心导管检查操作
FN19	下肢动脉经皮血管内治疗
FN29	其他外周血管的治疗
FN31	其他外周血管的检查,伴严重合并症或并发症
FN33	其他外周血管的检查,伴一般合并症或并发症
FN35	其他外周血管的检查,不伴合并症或并发症
FP11	心力衰竭、休克伴操作性治疗,伴严重合并症或并发症
FP15	心力衰竭、休克伴操作性治疗,不伴严重合并症或并发症
FQ19	心血管系统早期康复治疗
FR19	急性心肌梗死
FR21	心力衰竭、休克,伴严重合并症或并发症
FR23	心力衰竭、休克,伴一般合并症或并发症
FR25	心力衰竭、休克,不伴合并症或并发症
FR33	肺栓塞,伴合并症或并发症
FR35	肺栓塞,不伴合并症或并发症
FR49	心绞痛
FR59	冠状动脉粥样硬化／血栓／闭塞
FT11	心肌病,伴严重合并症或并发症
FT15	心肌病,不伴严重合并症或并发症
FT29	感染性心内膜炎
FT31	瓣膜疾病,伴严重合并症或并发症
FT35	瓣膜疾病,不伴严重合并症或并发症
FT43	心包疾病,伴合并症或并发症
FT45	心包疾病,不伴合并症或并发症
FU11	严重心律失常及心脏停搏,伴严重合并症或并发症
FU13	严重心律失常及心脏停搏,伴一般合并症或并发症
FU15	严重心律失常及心脏停搏,不伴合并症或并发症
FU1G	严重心律失常及心脏停搏,不伴合并症或并发症,大于等于70岁
FU29	心律失常及传导障碍
FU2H	心律失常及传导障碍,大于等于70岁
FV19	先天性心脏病
FV29	高血压
FV39	晕厥及／或虚脱
FW19	动脉疾病
FW23	静脉疾病,伴合并症或并发症
FW25	静脉疾病,不伴合并症或并发症
FZ11	其他循环系统疾病,伴严重合并症或并发症
FZ15	其他循环系统疾病,不伴严重合并症或并发症
GB19	胃肠道切除术联合肝及其他脏器手术
GB29	食管大手术
GB31	胃、十二指肠大手术,伴严重合并症或并发症
GB35	胃、十二指肠大手术,不伴严重合并症或并发症
GB40	小肠、大肠（含直肠）的大手术,机器人辅助手术
GB49	小肠、大肠（含直肠）的大手术
GC19	食管其他手术
GC21	胃、十二指肠其他手术,伴严重合并症或并发症
GC25	胃、十二指肠其他手术,不伴严重合并症或并发症
GC2G	胃、十二指肠其他手术,不伴严重合并症或并发症,大于等于70岁
GC31	小肠、大肠（含直肠）的其他手术,伴严重合并症或并发症
GC35	小肠、大肠（含直肠）的其他手术,不伴严重合并症或并发症
GD13	腹膜后肿瘤手术,伴合并症或并发症
GD15	腹膜后肿瘤手术,不伴合并症或并发症
GE19	伴穿孔、化脓、坏疽等阑尾切除术
GE1D	伴穿孔、化脓、坏疽等阑尾切除术,小于等于6岁
GE29	阑尾切除术
GF19	特殊类型疝手术
GF23	腹壁疝及脐疝手术,伴合并症或并发症
GF25	腹壁疝及脐疝手术,不伴合并症或并发症
GF2G	腹壁疝及脐疝手术,不伴合并症或并发症,大于等于70岁
GF39	双侧腹股沟疝及股疝手术
GF3H	双侧腹股沟疝及股疝手术,大于等于70岁
GF49	单侧腹股沟疝及股疝手术
GG19	肛管、肛门及肛周手术
GG29	直肠其他手术
GH13	腹腔／盆腔内粘连松解术,伴合并症或并发症
GH15	腹腔／盆腔内粘连松解术,不伴合并症或并发症
GJ13	消化系统其他手术,伴合并症或并发症
GJ15	消化系统其他手术,不伴合并症或并发症
GK19	消化系统其他内镜治疗操作
GK23	胃镜治疗操作,伴合并症或并发症
GK25	胃镜治疗操作,不伴合并症或并发症
GK2F	胃镜治疗操作,伴合并症或并发症,大于等于70岁
GK39	结肠镜治疗操作
GR11	消化系统恶性肿瘤,伴严重合并症或并发症
GR13	消化系统恶性肿瘤,伴一般合并症或并发症
GR15	消化系统恶性肿瘤,不伴合并症或并发症
GS11	胃肠出血,伴严重合并症或并发症
GS13	胃肠出血,伴一般合并症或并发症
GS15	胃肠出血,不伴合并症或并发症
GT19	炎症性肠病
GU11	消化道溃疡伴穿孔,伴严重合并症或并发症
GU13	消化道溃疡伴穿孔,伴一般合并症或并发症
GU15	消化道溃疡伴穿孔,不伴合并症或并发症
GU21	其他消化道溃疡,伴严重合并症或并发症
GU23	其他消化道溃疡,伴一般合并症或并发症
GU25	其他消化道溃疡,不伴合并症或并发症
GV13	消化道梗阻或腹痛,伴合并症或并发症
GV15	消化道梗阻或腹痛,不伴合并症或并发症
GW19	食管炎、胃肠炎
GZ19	其他消化系统疾病
HB13	胰切除和／或分流手术,伴合并症或并发症
HB15	胰切除和／或分流手术,不伴合并症或并发症
HB23	肝切除和／或分流手术,伴合并症或并发症
HB25	肝切除和／或分流手术,不伴合并症或并发症
HC13	胆总管、胆囊联合手术,伴合并症或并发症
HC15	胆总管、胆囊联合手术,不伴合并症或并发症
HC23	胆总管手术,伴合并症或并发症
HC25	胆总管手术,不伴合并症或并发症
HC33	除胆囊切除术以外的胆道手术,伴合并症或并发症
HC35	除胆囊切除术以外的胆道手术,不伴合并症或并发症
HC43	胆囊切除手术,伴合并症或并发症
HC45	胆囊切除手术,不伴合并症或并发症
HC4F	胆囊切除手术,伴合并症或并发症,大于等于70岁
HJ11	与肝、胆或胰腺疾病有关的其他手术,伴严重合并症或并发症
HJ13	与肝、胆或胰腺疾病有关的其他手术,伴一般合并症或并发症
HJ15	与肝、胆或胰腺疾病有关的其他手术,不伴合并症或并发症
HK11	食管曲张静脉出血的治疗性内镜操作,伴严重合并症或并发症
HK15	食管曲张静脉出血的治疗性内镜操作,不伴严重合并症或并发症
