AA19	心肺移植
BU35	中枢神经系统脱髓鞘病，不伴并发症或合并症
BV11	癫痫，伴严重并发症或合并症
BV13	癫痫，伴并发症或合并症
BV15	癫痫，不伴并发症或合并症
BV2_E23.0	神经肌肉接头及肌肉病,垂体功能减退症
BV2_G70.0	神经肌肉接头及肌肉病,重症肌无力
BV2_9	神经肌肉接头及肌肉病,其他
BV3_G44.2	头痛，紧张型头痛
BV3_9	头痛，其他
BW19	神经系统先天性疾病
BW20	脑性瘫痪，年龄小于18岁
BW2_G80.1	脑性瘫痪，痉挛性双侧脑瘫
BW2_G81.0	脑性瘫痪，松弛性偏瘫
BW2_G81	脑性瘫痪，偏瘫
BW2_9	脑性瘫痪，其他
BX17	认知功能障碍，死亡转归
BX1_A52.1	认知功能障碍，有症状性神经梅毒
BX1_F01	认知功能障碍，血管性痴呆
BX1_F03	认知功能障碍，未特指的痴呆
BX1_G31	认知功能障碍，神经系统的其他变性性疾病，不可归类在他处者
BX1_9	认知功能障碍，其他
BX2_G50.0	脑神经/周围神经疾病，三叉神经痛
BX2_G61.0	脑神经/周围神经疾病，吉兰-巴雷[格林-巴利]综合征
BX2_G61.8	脑神经/周围神经疾病，其他炎性多神经病
BX2_M79.2	脑神经/周围神经疾病，未特指的神经痛和神经炎
BX2_E13	脑神经/周围神经疾病，其他特指的糖尿病
BX2_G54	脑神经/周围神经疾病，神经根和神经丛疾患
BX2_G56	脑神经/周围神经疾病，上肢单神经病
BX2_G58	脑神经/周围神经疾病，其他单神经病
BX2_9	脑神经/周围神经疾病，其他
BY17	颅脑损伤，死亡转归
BY11	颅脑损伤，伴严重并发症或合并症
BY13	颅脑损伤，伴并发症或合并症
BY15	颅脑损伤，不伴并发症或合并症
BY21	脊髓伤病及功能障碍，伴严重并发症或合并症
BY23	脊髓伤病及功能障碍，伴并发症或合并症
BY25	脊髓伤病及功能障碍，不伴并发症或合并症
BZ17	神经系统其他疾病，死亡转归
BZ10	神经系统其他疾病，年龄小于18岁
BZ11	神经系统其他疾病，伴严重并发症或合并症
BZ13	神经系统其他疾病，伴并发症或合并症
BZ15	神经系统其他疾病，不伴并发症或合并症
CB19	角膜移植手术
CB21	玻璃体、视网膜、脉络膜联合晶状体手术，伴严重并发症或合并症
CB23	玻璃体、视网膜、脉络膜联合晶状体手术，伴并发症或合并症
CB25	玻璃体、视网膜、脉络膜联合晶状体手术，不伴并发症或合并症
CB31	晶状体联合视网膜及晶状体以外的内眼手术，伴严重并发症或合并症
CB33	晶状体联合视网膜及晶状体以外的内眼手术，伴并发症或合并症
CB35	晶状体联合视网膜及晶状体以外的内眼手术，不伴并发症或合并症
CB40	玻璃体、视网膜、脉络膜手术，年龄小于18岁
CB4_14.2	玻璃体、视网膜、脉络膜手术，视网膜和脉络膜病损破坏术
CB4_14.5	玻璃体、视网膜、脉络膜手术，视网膜脱离其他修补术
CB4_14.7	玻璃体、视网膜、脉络膜手术，玻璃体手术
CB4_14.7_a	玻璃体、视网膜、脉络膜手术，玻璃体手术，玻璃体药物注射术
CB4_9	玻璃体、视网膜、脉络膜手术，其他
CB5_13.9	晶状体手术，晶状体其他手术
CB5_13	晶状体手术，晶状体手术
CB5_13_a	晶状体手术，晶状体手术，飞秒激光白内障超声乳化抽吸术
CB6_12.6	视网膜及晶状体以外的内眼手术，巩膜造口术
CB6_12.9	视网膜及晶状体以外的内眼手术，虹膜、睫状体和前房的其他手术
CB6_12	视网膜及晶状体以外的内眼手术，虹膜、睫状体、巩膜和前房的手术
CB70	角膜、巩膜、结膜手术，年龄小于18岁
CB71	角膜、巩膜、结膜手术，伴严重并发症或合并症
CB73	角膜、巩膜、结膜手术，伴并发症或合并症
CB75	角膜、巩膜、结膜手术，不伴并发症或合并症
CD10	眼眶手术，年龄小于18岁
CD1_16.0	眼眶手术，眼眶切开术
CD1_16.8	眼眶手术，眼球和眼眶损伤修补术
CD1_16.9	眼眶手术，眼眶和眼球的其他手术
CD1_16	眼眶手术，眼眶和眼球手术
CD1_76	眼眶手术，面骨和关节手术
CD1_9	眼眶手术，其他
CD2_15.2	眼肌手术，一条眼外肌的其他手术
CD2_15	眼肌手术，眼外肌手术
CD30	除眼眶外的外眼手术，年龄小于18岁
CD3_08.2	除眼眶外的外眼手术，眼睑病损或组织切除术或破坏术
CD3_08.3	除眼眶外的外眼手术，上睑下垂和睑退缩的修补术
CD3_08.4	除眼眶外的外眼手术，睑内翻或睑外翻修补术
CD3_08.7	除眼眶外的外眼手术，其他眼睑重建术
CD3_08.8	除眼眶外的外眼手术，眼睑其他修补术
CD3_09.4	除眼眶外的外眼手术，泪道操作
CD3_09.7	除眼眶外的外眼手术，泪小管和泪点修补术
CD3_9	除眼眶外的外眼手术，其他
CJ1_09.8	其他眼部手术，泪道至鼻腔的造口术
CJ1_9	其他眼部手术，其他
CR19	眼部恶性肿瘤及交界性肿瘤
CS1_H46.x	眼外肌、眼的神经及血管疾病，视神经炎
CS1_H34	眼外肌、眼的神经及血管疾病，视网膜血管阻塞
CS1_9	眼外肌、眼的神经及血管疾病，其他
CT19	前房出血及眼创伤的非手术治疗
CU19	急性重大眼感染
CV1_H40.0	各种类型青光眼，可疑青光眼
CV1_H40.1	各种类型青光眼，原发性开角型青光眼
CV1_H40.2	各种类型青光眼，原发性闭角型青光眼
CV1_Z03.8	各种类型青光眼，其他可疑疾病和情况的观察
CV1_H40	各种类型青光眼，青光眼
CV1_9	各种类型青光眼，其他
CW1_H25.1	各种类型白内障，老年核性白内障
CW1_H26.2	各种类型白内障，并发性白内障
CW1_H26.9	各种类型白内障，未特指的白内障
CW1_H25	各种类型白内障，老年性白内障
CW1_9	各种类型白内障，其他
CX1_E11.3	其他疾病引起眼部病变，2型糖尿病性增殖性新生血管化性视网膜病
CX1_E14.3	其他疾病引起眼部病变，糖尿病性增殖性新生血管化性视网膜病
CX1_9	其他疾病引起眼部病变，其他
CZ10	其他眼部疾病，年龄小于18岁
CZ1_E05.0	其他眼部疾病，甲状腺毒症伴有弥漫性甲状腺肿
CZ1_H02	其他眼部疾病，眼睑的其他疾患
CZ1_9	其他眼部疾病，其他
DB1_01.5	鼻颅底或鼻眼复杂手术，大脑和脑膜的其他切除术或破坏术
DB1_29.3	鼻颅底或鼻眼复杂手术，咽病损或组织的切除术或破坏术
DB1_01	鼻颅底或鼻眼复杂手术，颅、脑和脑膜的切开术和切除术
DB1_9	鼻颅底或鼻眼复杂手术，其他
DB29	鼻颅底或鼻眼一般手术
DC19	口腔颌面头颈缺损游离组织瓣修复术
DC2_86.7	口腔颌面头颈缺损其他组织瓣修复术，带蒂皮瓣或皮瓣移植
DC2_9	口腔颌面头颈缺损其他组织瓣修复术，其他
DC3_40.3	口腔颌面头颈恶性肿瘤根治术，区域性淋巴结切除术
DC3_40.4	口腔颌面头颈恶性肿瘤根治术，颈淋巴结根治性切除术
DC3_9	口腔颌面头颈恶性肿瘤根治术，其他
DC40	口腔颌面头颈肿瘤切除术，年龄小于18岁
DC41	口腔颌面头颈肿瘤切除术，伴严重并发症或合并症
DC43	口腔颌面头颈肿瘤切除术，伴并发症或合并症
DC45	口腔颌面头颈肿瘤切除术，不伴并发症或合并症
DC45_a	口腔颌面头颈肿瘤切除术，不伴并发症或合并症，腮腺部分切除术
DC45_b	口腔颌面头颈肿瘤切除术，不伴并发症或合并症，口咽病损切除术
DD19	人工听觉装置植入
DD2_27.5	唇、腭裂修补术，唇、口整形修补术
DD2_27	唇、腭裂修补术，口和面的其他手术
DD2_27_a	唇、腭裂修补术，口和面的其他手术，唇腭裂手术操作
DE10	中耳/内耳/侧颅底手术，年龄小于18岁
DE1_19.1	中耳/内耳/侧颅底手术，镫骨切除术
DE1_19.4	中耳/内耳/侧颅底手术，鼓膜成形术
DE1_19.5	中耳/内耳/侧颅底手术，其他鼓室成形术
DE1_20.2	中耳/内耳/侧颅底手术，乳突和中耳切开术
DE1_20.4	中耳/内耳/侧颅底手术，乳突切除术
DE1_20.5	中耳/内耳/侧颅底手术，中耳其他切除术
DE1_20.8	中耳/内耳/侧颅底手术，咽鼓管手术
DE1_19	中耳/内耳/侧颅底手术，中耳重建术
DE1_20	中耳/内耳/侧颅底手术，中耳和内耳其他手术
DE1_9	中耳/内耳/侧颅底手术，其他
DE20	耳部其他小手术，年龄小于18岁
DE2_18.2	耳部其他小手术，外耳病损切除术或破坏术
DE2_18.6	耳部其他小手术，外耳道重建术
DE2_20.0	耳部其他小手术，鼓膜切开术
DE2_18	耳部其他小手术，外耳手术
DE2_9	耳部其他小手术，其他
DF1_21.3	鼻成形术，鼻病损局部切除术或破坏术
DF1_21.8	鼻成形术，鼻修补术和整形术
DF2_21.0	鼻腔、鼻窦手术，控制鼻出血
DF2_21.5	鼻腔、鼻窦手术，鼻中隔粘膜下切除术
DF2_21.6	鼻腔、鼻窦手术，鼻甲切除术
DF2_21.7	鼻腔、鼻窦手术，鼻骨折复位术
DF2_22.3	鼻腔、鼻窦手术，经鼻外上颌窦切开术
DF2_22.4	鼻腔、鼻窦手术，额窦切开术和切除术
DF2_22.5	鼻腔、鼻窦手术，其他鼻窦切开术
DF2_22.6	鼻腔、鼻窦手术，其他鼻窦切除术
